Date_FICO_L01d,Open_FICO_L01d,High_FICO_L01d,Low_FICO_L01d,Close_FICO_L01d,Adj Close_FICO_L01d,Volume_FICO_L01d,Daily_Return_FICO_L01d,Vol5_FICO_L01d,Vol10_FICO_L01d,Vol20_FICO_L01d,Vol60_FICO_L01d,SMA5_FICO_L01d,SMA10_FICO_L01d,SMA30_FICO_L01d,SMA60_FICO_L01d,SMA100_FICO_L01d,EMA5_FICO_L01d,EMA10_FICO_L01d,EMA30_FICO_L01d,EMA60_FICO_L01d,EMA100_FICO_L01d,Short12_FICO_L01d,Long26_FICO_L01d,MACD_FICO_L01d,SIGNAL9_FICO_L01d,Ret5/10_FICO_L01d,Ret10/30_FICO_L01d,Ret30/60_FICO_L01d,Ret30/100_FICO_L01d,Emaret5/10_FICO_L01d,Emaret10/30_FICO_L01d,Emaret30/60_FICO_L01d,Emaret30/100_FICO_L01d,RetMACD_FICO_L01d,DayRange_FICO_L01d,average20r_FICO_L01d,PRVHI_FICO_L01d,HitLevel_FICO_L01d,hitlevel_2_FICO_L01d,hitlevel_1.8_FICO_L01d,positive_return_dummy,sma_ratio_L01d,ema_ratio_L01d,volatility_ratio_L01d,negative_L01d,neutral_L01d,positive_L01d,negative_max_L01d,negative_avg_L01d,positive_max_L01d,positive_avg_L01d,ret_best,best
2024-01-17,1220.0,1231.22998046875,1204.68994140625,1230.160034179688,1230.160034179688,162800.0,0.4712566634992331,1.4870317652292542,1.524976446156728,1.3927453008088901,1.834523511840312,1220.1219970703125,1176.7989990234378,1156.9073364257813,1065.002335611979,994.5258026123047,1214.1869165844844,1193.7877368849868,1147.5001538566878,1085.2055350460892,1021.9771901405879,1188.1172881875457,1156.458990912433,31.658297275112773,26.985752414616876,1.6469409835066011,1.6469409835066011,1.6469409835066011,1.6469409835066011,-1.6469409835066011,1.6469409835066011,1.6469409835066011,1.6469409835066011,1.6469409835066011,21.47998046875,22.465002441406295,1231.22998046875,1204.9629321289058,1209.4590332031244,1213.9551342773432,1.0,1.0368142716664666,1.0170877778931842,1.0949428048840226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4712566634992331,1
2024-01-18,1237.25,1253.469970703125,1231.989990234375,1250.420043945312,1250.420043945312,130900.0,1.6469409835066011,0.8748913769510667,1.4265869562603943,1.39116910292539,1.8323793930325114,1230.160009765625,1189.60400390625,1161.1736694335937,1070.6426696777344,998.5609033203125,1226.2646257047604,1204.084519986864,1154.1401467656312,1090.622404190326,1026.5008110080082,1197.7023275348943,1163.4190689148684,34.28325862002589,28.445253655698682,0.7829302672803382,0.7829302672803382,0.7829302672803382,0.7829302672803382,-0.7829302672803382,0.7829302672803382,0.7829302672803382,0.7829302672803382,0.7829302672803382,18.68994140625,23.038000488281295,1253.469970703125,1181.806975097656,1186.2999755859373,1190.7929760742186,1.0,1.0340920219890006,1.0184207215936456,1.025459056890012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6469409835066011,1
2024-01-19,1260.25,1266.7099609375,1248.02001953125,1260.2099609375,1260.2099609375,176000.0,0.7829302672803382,0.847430212930521,1.3298183969671518,1.3930512224705216,1.8267576185861825,1239.2340087890625,1203.87900390625,1165.4793334960937,1076.1930023193358,1002.6441027832032,1237.579737449007,1214.2891456142524,1160.9833605831714,1096.1826519525284,1031.128714967008,1207.3188865199104,1170.5887646202486,36.730121899661754,30.1022273044913,2.230579524276285,2.230579524276285,2.230579524276285,2.230579524276285,-2.230579524276285,2.230579524276285,2.230579524276285,2.230579524276285,2.230579524276285,32.929931640625,23.152496337890646,1266.7099609375,1202.7863696289062,1207.3939697265623,1212.0015698242187,1.0,1.0293675732927439,1.0191804331932597,0.9546083988274108,0.0,0.0,3.0,0.006234956,0.002921268,0.998052478,0.9960378606666668,0.7829302672803382,1
2024-01-22,1272.0,1297.449951171875,1264.52001953125,1288.319946289062,1288.319946289062,248400.0,2.230579524276285,1.0708168414348411,1.2654554953615789,1.4466881748776799,1.5480531412251273,1250.7,1221.1650024414062,1171.3696655273438,1083.296334838867,1006.8773022460938,1254.493140395692,1227.7492911914906,1169.1986241770999,1102.4822353733985,1036.2216106367516,1219.7805880228568,1179.3095928920125,40.47099513084436,32.175980869761915,-0.5285904749866452,-0.5285904749866452,-0.5285904749866452,-0.5285904749866452,0.5285904749866452,-0.5285904749866452,-0.5285904749866452,-0.5285904749866452,-0.5285904749866452,28.119995117187955,23.676995849609398,1297.449951171875,1215.7744689941405,1220.4049682617188,1225.0354675292967,0.0,1.0241859187739135,1.0217828260183701,0.8747258167563134,0.0,1.0,1.0,0.091658376,0.04915939,0.904711902,0.4590002285,2.230579524276285,1
2024-01-23,1280.0,1291.47998046875,1263.359985351562,1281.510009765625,1281.510009765625,260500.0,-0.5285904749866452,1.0682500874988412,1.2219273457903492,1.4641313506689826,1.4133038356628518,1262.1239990234376,1234.072998046875,1176.817997233073,1090.903168741862,1010.8090020751953,1263.4987635190032,1237.5239672958787,1176.444520021521,1108.3519984682257,1041.0788066591056,1229.277422137129,1186.8799941419097,42.39742799521923,34.22027029485338,-0.4650733035312003,-0.4650733035312003,-0.4650733035312003,-0.4650733035312003,0.4650733035312003,-0.4650733035312003,-0.4650733035312003,-0.4650733035312003,-0.4650733035312003,32.589965820312955,24.538995361328194,1291.47998046875,1245.3605603027343,1250.0959594726562,1254.8313586425782,0.0,1.0227304227715523,1.0209893278106623,0.834574947959439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5285904749866452,1
2024-01-24,1307.140014648438,1307.140014648438,1274.550048828125,1275.550048828125,1275.550048828125,182000.0,-0.4650733035312003,1.2356693644534473,1.3118162541661504,1.4791251066013003,1.421763951313077,1271.2020019531249,1245.6619995117187,1181.523331705729,1098.3336700439454,1014.5776025390625,1267.5158586220439,1244.4378003017416,1182.838425105818,1113.833901758714,1045.7218015535416,1236.3962877818974,1193.4481463408886,42.94814144100883,35.965844524084474,0.6836243478753518,0.6836243478753518,0.6836243478753518,0.6836243478753518,-0.6836243478753518,0.6836243478753518,0.6836243478753518,0.6836243478753518,0.6836243478753518,18.28002929687409,24.722991943359396,1307.140014648438,1237.494190673828,1242.4019897460937,1247.3097888183593,1.0,1.0205031561141125,1.0185449673054825,0.8868866117622813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4650733035312003,1
2024-01-25,1286.920043945312,1292.170043945312,1273.890014648438,1284.27001953125,1284.27001953125,219900.0,0.6836243478753518,1.1280245715395651,0.963479067924927,1.4673476636848146,1.4083171291452865,1277.9719970703125,1254.0660034179687,1186.1383341471353,1105.6031707763673,1018.3744024658204,1273.1005789251126,1251.680021979834,1189.382398939717,1119.4219711938792,1050.4455286422092,1243.7614772817976,1200.1756925031377,43.5857847786599,37.48983257499956,-6.845136368734554,-6.845136368734554,-6.845136368734554,-6.845136368734554,6.845136368734554,-6.845136368734554,-6.845136368734554,-6.845136368734554,-6.845136368734554,80.91003417968705,28.117993164062455,1292.170043945312,1252.7494323730473,1257.6940307617192,1262.6386291503911,0.0,1.0190627874347824,1.0171134447855106,0.6566126704460966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6836243478753518,1
2024-01-26,1235.5,1275.920043945312,1195.010009765625,1196.359985351562,1196.359985351562,407100.0,-6.845136368734554,3.4620835685703004,2.5439536723777296,2.2023518955794033,1.7124963494770875,1265.202001953125,1252.2180053710938,1187.3763346354167,1111.354337565104,1021.37240234375,1247.5203810672624,1241.6218335019664,1189.8325658049973,1121.9445290351148,1053.3349238245726,1236.4689400617615,1199.893047528947,36.57589253281458,37.30704456656257,2.1749322820759307,2.1749322820759307,2.1749322820759307,2.1749322820759307,-2.1749322820759307,2.1749322820759307,2.1749322820759307,2.1749322820759307,-2.1749322820759307,29.319946289062045,29.250494384765556,1275.920043945312,1230.3104589843747,1235.9340576171871,1241.5576562499996,1.0,1.0103687988244374,1.0047506796402406,1.1551077180190845,0.0,0.0,1.0,0.000938971,0.000938971,0.998340487,0.998340487,-6.845136368734554,-1
2024-01-29,1200.0,1228.359985351562,1199.0400390625,1222.380004882812,1222.380004882812,198400.0,2.1749322820759307,3.449228194711701,2.6107659208890084,2.247924324788091,1.7170093970730276,1252.014013671875,1251.3570068359375,1189.229667154948,1117.6295043945313,1024.6691021728516,1239.1402556724456,1238.1233192075747,1191.9324005842113,1125.2374954563506,1056.6823511722603,1234.3014115726924,1201.5587480736776,32.742663499014725,36.394168353053004,-2.0713645664949696,-2.0713645664949696,-2.0713645664949696,-2.0713645664949696,2.0713645664949696,-2.0713645664949696,-2.0713645664949696,-2.0713645664949696,2.0713645664949696,25.72998046875,29.489495849609305,1228.359985351562,1211.5689562988277,1217.4190551757808,1223.269154052734,0.0,1.0005250354873538,1.000821353131061,1.1614118376227465,1.0,0.0,0.0,0.756370783,0.756370783,0.039407331,0.039407331,-2.1749322820759307,-1
2024-01-30,1216.619995117188,1222.719970703125,1196.989990234375,1197.06005859375,1197.06005859375,195200.0,-2.0713645664949696,3.4659218538224863,2.6872988759319267,2.302846882176144,1.723911239193139,1235.1240234374998,1248.6240112304688,1191.478670247396,1123.0640055338542,1027.5609027099608,1225.1135233128805,1230.6572718232428,1192.2632172299882,1127.5923335920031,1059.462107754864,1228.571972652855,1201.2255118159053,27.346460836949745,34.584626849832354,-0.147853689397769,0.147853689397769,0.147853689397769,0.147853689397769,-0.147853689397769,-0.147853689397769,0.147853689397769,0.147853689397769,-0.147853689397769,31.44995117187409,29.155493164062364,1222.719970703125,1163.4830944824216,1169.3809936523435,1175.2788928222653,1.0,0.9891881081321948,0.995495294557396,1.16694639870823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0713645664949696,1
2024-01-31,1197.339965820312,1219.339965820312,1187.890014648438,1198.829956054688,1198.829956054688,206100.0,0.147853689397769,3.5135502789348356,2.6803672187002396,2.1931801876339088,1.6830180757873159,1219.7800048828126,1245.4910034179686,1193.7803344726562,1128.0330047607422,1030.5070025634766,1216.3523342268163,1224.870487138051,1192.6868777993238,1129.927993344878,1062.221867127138,1223.9962777915985,1201.0480632410004,22.948214550598095,32.257344389985505,-3.6986136079336838,3.6986136079336838,3.6986136079336838,3.6986136079336838,-3.6986136079336838,-3.6986136079336838,3.6986136079336838,3.6986136079336838,-3.6986136079336838,44.82006835937409,30.452496337890466,1219.339965820312,1158.5778857421878,1164.4089843750003,1170.2400830078127,1.0,0.9793567368494851,0.9930456705417586,1.2221372570358333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.147853689397769,1
2024-02-01,1198.829956054688,1243.650024414062,1198.829956054688,1243.170043945312,1243.170043945312,159700.0,3.6986136079336838,4.120135145468032,2.9083445602536986,2.3016245383038854,1.6950437122409452,1211.560009765625,1244.7660034179687,1196.927001953125,1133.245672607422,1033.9415032958984,1225.2915707996483,1228.1976792848257,1195.9438562603555,1133.6408474629247,1065.8049993413592,1226.9460879690928,1204.1682099598384,22.777878009254437,30.36145111383929,-0.9757317546292615,0.9757317546292615,0.9757317546292615,0.9757317546292615,-0.9757317546292615,-0.9757317546292615,0.9757317546292615,0.9757317546292615,-0.9757317546292615,17.52001953125,30.436993408202966,1243.650024414062,1152.344473876953,1158.434973144531,1164.5254724121091,1.0,0.9733235053325971,0.9976338430415619,1.2636051240559496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6986136079336838,1
2024-02-02,1243.199951171875,1257.5,1239.97998046875,1255.300048828125,1255.300048828125,121400.0,0.9757317546292615,2.169210786239777,2.9148843600237466,2.2917717395906756,1.6929819518709173,1223.3480224609375,1244.2750122070313,1200.3533365885417,1138.7046732584636,1037.4452038574218,1235.2943968091406,1233.1253828381527,1199.7732880389212,1137.6296737371936,1069.5573765589188,1231.3082357935593,1207.9557535797114,23.352482213847907,28.959657333841015,-0.06611614931918819,0.06611614931918819,0.06611614931918819,0.06611614931918819,-0.06611614931918819,0.06611614931918819,0.06611614931918819,0.06611614931918819,-0.06611614931918819,24.920043945312045,30.722491455077964,1257.5,1176.6886389160154,1182.776037597656,1188.8634362792968,1.0,0.9831813790835721,1.0017589565515193,1.2718912227028172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9757317546292615,1
2024-02-05,1256.130004882812,1258.7900390625,1233.869995117188,1256.130004882812,1256.130004882812,100600.0,0.06611614931918819,2.083358834191874,2.8093071575534685,2.2879903305821423,1.6919423639439661,1230.0980224609375,1241.0560180664063,1203.7193359375,1144.0001729329426,1041.1030041503907,1242.2395995003644,1237.308041391727,1203.4092052546562,1141.5149304960662,1073.251884050481,1235.1269694995983,1211.5242166392004,23.602752860397914,27.8882764391524,-0.29296758270504636,0.29296758270504636,0.29296758270504636,0.29296758270504636,-0.29296758270504636,0.29296758270504636,0.29296758270504636,0.29296758270504636,-0.29296758270504636,33.849975585937045,30.47949218749982,1258.7900390625,1189.9105187988284,1196.0550170898441,1202.1995153808596,1.0,0.9911704262773395,1.003985715718044,1.2278492264600984,0.0,0.0,1.0,0.086458527,0.086458527,0.909276545,0.909276545,0.06611614931918819,-1
2024-02-06,1259.81005859375,1264.239990234375,1230.390014648438,1259.81005859375,1259.81005859375,209000.0,0.29296758270504636,1.5309081359968766,2.811172962763243,2.198802595365349,1.691752386456216,1242.6480224609375,1238.8860229492188,1206.8643391927083,1149.3231740315755,1044.7265045166016,1248.0964191981598,1241.3993172466403,1207.0479699862108,1145.3934592861542,1076.9461053285656,1238.9243678217756,1215.1009456728707,23.82342214890491,27.075305581102903,1.6383336866800435,1.6383336866800435,1.6383336866800435,1.6383336866800435,-1.6383336866800435,1.6383336866800435,1.6383336866800435,1.6383336866800435,-1.6383336866800435,24.7900390625,30.509497070312317,1264.239990234375,1191.7351562500003,1197.8310546875005,1203.9269531250004,1.0,1.0030365985587302,1.0053948007369404,1.278501748491953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29296758270504636,1
2024-02-07,1263.630004882812,1286.75,1261.9599609375,1280.449951171875,1280.449951171875,168600.0,1.6383336866800435,1.4580509228513816,2.86189711197262,2.21418030036601,1.680701704559481,1258.9720214843749,1239.3760131835938,1210.5833374023437,1154.6190063476563,1048.4658038330078,1258.880929856065,1248.4994325057737,1211.7835816756085,1149.8215409873253,1080.9758844541757,1245.3129191064063,1219.941612746871,25.37130635953531,26.734505736789387,3.201217681086303,3.201217681086303,3.201217681086303,3.201217681086303,-3.201217681086303,3.201217681086303,3.201217681086303,3.201217681086303,-3.201217681086303,41.77001953125,30.869500732421717,1286.75,1197.1190966796878,1203.2209960937503,1209.3228955078127,1.0,1.015811188930827,1.0083151798711316,1.2925311960817014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6383336866800435,1
2024-02-08,1283.22998046875,1325.0,1283.22998046875,1321.43994140625,1321.43994140625,196700.0,3.201217681086303,1.2599230637946952,3.0272320385327025,2.1940468560562687,1.67107916090687,1274.6260009765624,1243.0930053710938,1215.8106689453125,1160.0313385009765,1052.7662030029296,1279.7339337061267,1261.761343214951,1218.8581855291984,1155.4483737879457,1085.737548948276,1257.0247686909977,1227.4600074623806,29.564761228617044,27.30055683515492,0.1793586763374027,0.1793586763374027,0.1793586763374027,0.1793586763374027,-0.1793586763374027,0.1793586763374027,0.1793586763374027,0.1793586763374027,0.1793586763374027,18.96997070312591,30.561999511718614,1325.0,1218.8370983886723,1225.0109985351567,1231.184898681641,1.0,1.0253665618495338,1.014244049073006,1.3797481262428726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.201217681086303,1
2024-02-09,1327.949951171875,1336.390014648438,1317.420043945312,1323.81005859375,1323.81005859375,118900.0,0.1793586763374027,1.3481227117634975,1.7033330740761616,2.188595268680584,1.6654983173776592,1288.3280029296875,1255.8380126953125,1220.9173380533855,1165.2236724853515,1056.9731036376952,1294.4259753353344,1273.0429278292781,1225.6292741140082,1160.9684290274802,1090.4518560699685,1267.2994286760365,1234.5970482869266,32.702380389109976,28.380921545945935,-1.9232429035066896,-1.9232429035066896,-1.9232429035066896,-1.9232429035066896,1.9232429035066896,-1.9232429035066896,-1.9232429035066896,-1.9232429035066896,-1.9232429035066896,38.910034179687955,31.721002197265513,1336.390014648438,1257.763601074219,1263.8760009765629,1269.9884008789065,0.0,1.0258711632439315,1.0167968000439054,0.7782768693925911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1793586763374027,1
2024-02-12,1333.930053710938,1333.930053710938,1295.02001953125,1298.349975585938,1298.349975585938,159600.0,-1.9232429035066896,1.9008041494456254,1.8810884572480455,2.240335000768342,1.6881469909085178,1296.7719970703124,1263.435009765625,1225.2176717122395,1169.7436716715495,1060.8569036865235,1295.733975418869,1277.6442092395798,1230.3209322734876,1165.4727420293968,1094.5686505158292,1272.0764358929443,1239.3194873461125,32.756948546831836,29.256126946123118,-2.223591147229705,-2.223591147229705,-2.223591147229705,-2.223591147229705,2.223591147229705,-2.223591147229705,-2.223591147229705,-2.223591147229705,-2.223591147229705,32.099975585937045,31.184497070312364,1333.930053710938,1266.6038098144538,1272.948010253907,1279.29221069336,0.0,1.0263859929850065,1.0141586883488132,0.839646060344953,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.9232429035066896,1
