Date_VRSN_L01d,Open_VRSN_L01d,High_VRSN_L01d,Low_VRSN_L01d,Close_VRSN_L01d,Adj Close_VRSN_L01d,Volume_VRSN_L01d,Daily_Return_VRSN_L01d,Vol5_VRSN_L01d,Vol10_VRSN_L01d,Vol20_VRSN_L01d,Vol60_VRSN_L01d,SMA5_VRSN_L01d,SMA10_VRSN_L01d,SMA30_VRSN_L01d,SMA60_VRSN_L01d,SMA100_VRSN_L01d,EMA5_VRSN_L01d,EMA10_VRSN_L01d,EMA30_VRSN_L01d,EMA60_VRSN_L01d,EMA100_VRSN_L01d,Short12_VRSN_L01d,Long26_VRSN_L01d,MACD_VRSN_L01d,SIGNAL9_VRSN_L01d,Ret5/10_VRSN_L01d,Ret10/30_VRSN_L01d,Ret30/60_VRSN_L01d,Ret30/100_VRSN_L01d,Emaret5/10_VRSN_L01d,Emaret10/30_VRSN_L01d,Emaret30/60_VRSN_L01d,Emaret30/100_VRSN_L01d,RetMACD_VRSN_L01d,DayRange_VRSN_L01d,average20r_VRSN_L01d,PRVHI_VRSN_L01d,HitLevel_VRSN_L01d,hitlevel_2_VRSN_L01d,hitlevel_1.8_VRSN_L01d,positive_return_dummy,sma_ratio_L01d,ema_ratio_L01d,volatility_ratio_L01d,negative_L01d,neutral_L01d,positive_L01d,negative_max_L01d,negative_avg_L01d,positive_max_L01d,positive_avg_L01d,ret_best,best
2024-01-17,201.4900054931641,203.4700012207031,201.0599975585938,201.8399963378906,201.8399963378906,414900.0,-0.29638712521220256,1.4744839391378382,1.2377051440778915,1.0237048543057168,1.467922282849352,203.12799682617188,200.88099975585936,206.97066650390624,206.9168337504069,206.07619995117187,202.24592489023388,202.30351867416672,204.93079803686373,206.3436914142444,207.16238202387015,202.53587339226507,204.52986922175916,-1.9939958294940823,-2.2438387259354204,1.0652047137745027,-1.0652047137745027,1.0652047137745027,1.0652047137745027,1.0652047137745027,-1.0652047137745027,-1.0652047137745027,-1.0652047137745027,1.0652047137745027,4.639999389648409,2.891999053955085,203.4700012207031,197.77020004272464,198.34199981689457,198.9137995910645,1.0,1.0111857123025243,0.9997153100237194,1.2090449106225163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29638712521220256,-1
2024-01-18,200.75,204.8899993896484,200.25,203.9900054931641,203.9900054931641,350300.0,1.0652047137745027,0.7075202544252551,1.2774526606990873,1.0566393964221288,1.4597431037021062,203.2419982910156,201.15899963378905,206.47933349609374,206.8480005900065,206.09039993286132,202.82728509121063,202.61015264125712,204.87010174372182,206.26652138404503,207.09956268662845,202.75958602317263,204.4898793159373,-1.7302932927646566,-2.1411296393012678,0.6764986454543009,-0.6764986454543009,-0.6764986454543009,0.6764986454543009,0.6764986454543009,0.6764986454543009,-0.6764986454543009,-0.6764986454543009,0.6764986454543009,2.8500061035155966,2.8884994506835993,204.8899993896484,197.1076033020019,197.68600311279292,198.26440292358393,1.0,1.0103549861602943,1.001071676059284,1.2089769367152607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0652047137745027,-1
2024-01-19,204.5,206.8899993896484,204.0399932861328,205.3699951171875,205.3699951171875,359100.0,0.6764986454543009,0.7617578992663089,1.1691551930650255,1.0619858624982694,1.458705706567877,203.56399841308593,201.8479995727539,206.0856669108073,206.83050053914388,206.08669982910158,203.6748550998696,203.11194218233535,204.9023529291067,206.23712708021364,207.06531382386723,203.16118742225183,204.55507307899285,-1.3938856567410198,-1.9916808427892183,-0.05356216242242337,0.05356216242242337,0.05356216242242337,-0.05356216242242337,-0.05356216242242337,-0.05356216242242337,0.05356216242242337,0.05356216242242337,-0.05356216242242337,2.479995727539091,2.832498931884774,206.8899993896484,198.5353005981445,199.11300048828122,199.69070037841794,0.0,1.008501440905851,1.0027714417551525,1.1009140840299376,0.0,1.0,1.0,0.048329562,0.0249875865,0.939832747,0.4740375595,-0.6764986454543009,1
2024-01-22,206.5200042724609,207.6999969482422,205.2200012207031,205.2599945068359,205.2599945068359,336200.0,-0.05356216242242337,0.7666513346868723,1.111153990754089,1.0573278295563016,1.4584456883436143,203.77999877929685,202.68299865722656,205.72833353678385,206.803667195638,206.07399978637696,204.2032349021917,203.50249715042634,204.9254265792828,206.20508994666028,207.02956492650026,203.48408081988015,204.6072894810553,-1.1232086611751413,-1.817986406466403,0.5310394747396264,-0.5310394747396264,-0.5310394747396264,0.5310394747396264,0.5310394747396264,0.5310394747396264,-0.5310394747396264,-0.5310394747396264,0.5310394747396264,1.710006713867216,2.7749992370605554,207.6999969482422,200.6585017395019,201.22500152587887,201.7915013122558,1.0,1.005412393389371,1.0034433865017753,1.050907731446334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05356216242242337,-1
2024-01-23,206.1699981689453,207.5700073242188,205.8600006103516,206.3500061035156,206.3500061035156,230400.0,0.5310394747396264,0.5535344732153087,1.0896759414799355,1.0632484086960532,1.4598361507527318,204.56199951171874,203.41799926757812,205.45366719563802,206.80166727701823,206.06399978637694,204.91882530263302,204.02022605098801,205.01733493568491,206.20984129606538,207.0161083161441,203.9249924019779,204.73637960123753,-0.8113871992596273,-1.616666565025048,-1.1485390384663177,1.1485390384663177,1.1485390384663177,-1.1485390384663177,-1.1485390384663177,-1.1485390384663177,1.1485390384663177,1.1485390384663177,-1.1485390384663177,4.189987182617216,2.8619987487793113,207.5700073242188,201.59499862670896,202.14999847412108,202.7049983215332,0.0,1.0056238889786533,1.004404461601863,1.024855464224294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5310394747396264,-1
2024-01-24,206.8600006103516,208.0399932861328,203.8500061035156,203.9799957275391,203.9799957275391,314000.0,-1.1485390384663177,0.8612593323309266,1.1444459834006961,1.0736948019581911,1.4623857644227214,204.98999938964843,204.05899810791016,205.15400034586588,206.79250055948893,206.01259979248047,204.60588211093506,204.01291144672456,204.95040982548198,206.13673160529402,206.9559872747856,203.93345445206424,204.68035116614874,-0.7468967140844995,-1.4427125948369384,-0.46083069962500733,0.46083069962500733,0.46083069962500733,-0.46083069962500733,-0.46083069962500733,-0.46083069962500733,0.46083069962500733,0.46083069962500733,-0.46083069962500733,3.3600006103515057,2.9179992675781365,208.0399932861328,201.27361007690433,201.84600982666018,202.41840957641605,0.0,1.0045624122943402,1.002906534983524,1.065895058179913,0.0,0.0,1.0,0.339868426,0.339868426,0.651774406,0.651774406,1.1485390384663177,1
2024-01-25,204.3899993896484,205.5899963378906,202.2299957275391,203.0399932861328,203.0399932861328,341400.0,-0.46083069962500733,0.7470864079615925,0.6904457416748689,1.075467933124497,1.2486755675402068,204.79999694824218,204.02099761962887,204.78899993896485,206.96600036621095,205.96509979248046,204.0839191693343,203.83601723570786,204.82715714552398,206.0351992013871,206.87844283936673,203.7959988880748,204.55884317503643,-0.7628442869616379,-1.3067389332618784,0.03447957374590781,-0.03447957374590781,-0.03447957374590781,0.03447957374590781,0.03447957374590781,0.03447957374590781,-0.03447957374590781,-0.03447957374590781,0.03447957374590781,1.8099975585937784,2.9054992675781364,205.5899963378906,201.62039489746093,202.20399475097653,202.78759460449217,1.0,1.0038182311512154,1.0012161831701205,0.6419956564106523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.46083069962500733,1
2024-01-26,203.2400054931641,203.3600006103516,201.5500030517578,203.1100006103516,203.1100006103516,287200.0,0.03447957374590781,0.6278344791860893,0.6877935802647647,1.0708049725646975,1.1949540627042363,204.347998046875,203.95599822998045,204.33233337402345,207.04900029500325,205.94469985961913,203.75927964967343,203.7040142129158,204.71637285293224,205.93929105086133,206.80382022097038,203.69046069150198,204.4515215035783,-0.7610608120763231,-1.1976033090247673,-0.10339555572650833,0.10339555572650833,0.10339555572650833,-0.10339555572650833,-0.10339555572650833,-0.10339555572650833,0.10339555572650833,0.10339555572650833,-0.10339555572650833,2.580001831054716,2.9604995727539176,203.3600006103516,199.19789794921869,199.77899780273432,200.36009765624996,0.0,1.0019219822917516,1.0002713026396224,0.6423145184107824,0.0,0.0,1.0,0.450245529,0.450245529,0.541827679,0.541827679,0.03447957374590781,1
2024-01-29,203.0099945068359,204.8200073242188,202.2400054931641,202.8999938964844,202.8999938964844,433800.0,-0.10339555572650833,0.6249308907378534,0.6829434913385436,1.0682246462602438,1.1913060323054019,203.8759979248047,203.82799835205077,203.76166636149088,207.10300013224284,205.911199798584,203.4728510652771,203.55782870083738,204.59918711380658,205.83964196383255,206.7265167293964,203.56885041534542,204.33659353268246,-0.7677431173370337,-1.1116312706872207,-0.5421344888200365,-0.5421344888200365,0.5421344888200365,-0.5421344888200365,-0.5421344888200365,0.5421344888200365,0.5421344888200365,0.5421344888200365,-0.5421344888200365,2.429992675781307,2.950999450683608,204.8200073242188,196.84690155029298,197.43900146484376,198.03110137939453,0.0,1.0002354905760837,0.9995825381116382,0.6393257202307266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10339555572650833,1
2024-01-30,202.8999938964844,203.6499938964844,201.2200012207031,201.8000030517578,201.8000030517578,1042300.0,-0.5421344888200365,0.46131414505321044,0.6492274585146817,1.0732046085949123,1.1440336588321978,202.96599731445312,203.76399841308594,203.471999613444,207.2241668701172,205.87339981079103,202.91523506077067,203.23822403736835,204.4185945936744,205.70719478638748,206.62896200310652,203.29672005171656,204.14869794150286,-0.8519778897862977,-1.0597005945070361,1.4469762759103573,-1.4469762759103573,1.4469762759103573,-1.4469762759103573,-1.4469762759103573,1.4469762759103573,1.4469762759103573,1.4469762759103573,-1.4469762759103573,5.230010986328097,2.9724998474121223,203.6499938964844,198.32780853271487,198.91800842285159,199.5082083129883,0.0,0.9960836992557681,0.9984107862675562,0.6049428536881513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5421344888200365,1
2024-01-31,200.8000030517578,203.4600067138672,198.2299957275391,198.8800048828125,198.8800048828125,705900.0,-1.4469762759103573,0.5794320485806922,0.7887040643366767,1.0136620504839347,1.0941647064712832,201.9459991455078,203.46799926757814,203.21299997965494,207.19966684977214,205.78469985961914,201.57015833478462,202.44582055472182,204.06126622523172,205.48335249446697,206.47551730765517,202.6172254103467,203.75842438159987,-1.141198971253175,-1.076000269856264,-0.6888551305068361,0.6888551305068361,-0.6888551305068361,0.6888551305068361,0.6888551305068361,-0.6888551305068361,-0.6888551305068361,-0.6888551305068361,-0.6888551305068361,2.539993286132784,2.93999938964845,203.4600067138672,197.11049423217773,197.70499420166016,198.29949417114258,1.0,0.9925197076319173,0.9956745848467615,0.7780739783640315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4469762759103573,-1
2024-02-01,199.0,200.8600006103516,198.3200073242188,200.25,200.25,546100.0,0.6888551305068361,0.7904310274886466,0.7314503274732252,1.026925193257496,1.0889349897925298,201.38800048828125,203.09399871826173,203.01299997965495,207.16233342488607,205.7215998840332,201.1301055565231,202.0465804538633,203.81537808166837,205.3117671667795,206.35223973720653,202.25303688567797,203.49854109407397,-1.2455042083959995,-1.1099010575642112,0.32459120923066337,-0.32459120923066337,0.32459120923066337,-0.32459120923066337,-0.32459120923066337,0.32459120923066337,0.32459120923066337,0.32459120923066337,0.32459120923066337,2.6499938964844034,2.896999359130871,200.8600006103516,196.9920080566406,197.5800079345703,198.16800781249998,0.0,0.9915999574544441,0.9954640415329895,0.7122722592412025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6888551305068361,-1
2024-02-02,201.1699981689453,201.1699981689453,198.5200042724609,199.6000061035156,199.6000061035156,427500.0,-0.32459120923066337,0.7715013405415743,0.6664463301393043,0.9810630682257196,1.0882654839123105,200.68600158691407,202.51699981689453,202.82833353678384,207.1005002339681,205.695,200.6200724055206,201.60174875380005,203.54341859920692,205.12449631224627,206.21853214049978,201.84487830380684,203.20976072440297,-1.3648824205961319,-1.1608973301705954,0.6262524858600109,0.6262524858600109,0.6262524858600109,-0.6262524858600109,-0.6262524858600109,0.6262524858600109,0.6262524858600109,0.6262524858600109,0.6262524858600109,2.419998168945284,2.8284988403320397,201.1699981689453,194.48660202026366,195.06600189208984,195.64540176391603,0.0,0.9909587924389758,0.9951306159081076,0.679310384544993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32459120923066337,-1
2024-02-05,199.3200073242188,199.9799957275391,197.5599975585938,198.3500061035156,198.3500061035156,556500.0,-0.6262524858600109,0.7658709958127787,0.669181686407137,0.9744522066854433,1.0902964771369388,199.7760040283203,201.8260009765625,202.63066711425782,207.0086669921875,205.69370010375977,199.8633836381856,201.01052281738467,203.20835972851717,204.90238187917313,206.06271974372783,201.3072056576082,202.84977890063354,-1.5425732430253447,-1.2372325127415453,-0.18149765529309464,-0.18149765529309464,-0.18149765529309464,0.18149765529309464,0.18149765529309464,-0.18149765529309464,-0.18149765529309464,-0.18149765529309464,-0.18149765529309464,2.3899993896484943,2.8264991760253992,199.9799957275391,194.94730072021483,195.51300048828122,196.07870025634764,1.0,0.9898427509918295,0.994293138671943,0.6867260208515812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6262524858600109,-1
2024-02-06,199.0500030517578,200.6499938964844,198.2599945068359,198.7100067138672,198.7100067138672,513700.0,0.18149765529309464,0.8111910319912814,0.6263993146495869,0.9453835597215584,1.087773789870663,199.1580047607422,201.06200103759767,202.43900044759116,206.90350036621095,205.6861001586914,199.47892466341284,200.59224716219967,202.91814340499138,204.6993531852287,205.91712146590882,200.90763658934034,202.5431291090212,-1.6354925196808665,-1.3168845141294097,-0.7900921002385294,-0.7900921002385294,-0.7900921002385294,0.7900921002385294,0.7900921002385294,-0.7900921002385294,-0.7900921002385294,-0.7900921002385294,-0.7900921002385294,3.050003051757784,2.887499237060554,200.6499938964844,193.76169754028322,194.3269973754883,194.89229721069339,1.0,0.9905303027572105,0.9944498228892835,0.6625874844217502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18149765529309464,-1
2024-02-07,199.3399963378906,201.4700012207031,198.4199981689453,200.2799987792969,200.2799987792969,864100.0,0.7900921002385294,0.6181733526444212,0.6594453636397346,0.9454772894710536,1.0915553817800328,199.43800354003906,200.69200134277344,202.23533376057944,206.840833791097,205.6848001098633,199.74594936870756,200.53547472894462,202.74794052591434,204.55445631946043,205.8054952740947,200.81107692625676,202.37548982533792,-1.5644128990811623,-1.3663901911197602,-0.36948546918031067,-0.36948546918031067,-0.36948546918031067,0.36948546918031067,0.36948546918031067,-0.36948546918031067,-0.36948546918031067,-0.36948546918031067,-0.36948546918031067,1.8799896240233807,2.7619987487792983,201.4700012207031,194.29749557495117,194.8749954223633,195.4524952697754,1.0,0.9937516303871393,0.996062914248443,0.6974735099228674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7900921002385294,1
2024-02-08,201.0,201.6999969482422,199.8200073242188,201.0200042724609,201.0200042724609,789700.0,0.36948546918031067,0.5614271852798841,0.6724314684045457,0.6646328281308671,1.0724524480195894,199.59200439453124,200.49000244140626,202.04166717529296,206.73683395385743,205.68780014038086,200.17063433662537,200.62357100958394,202.63646076762703,204.4385726457883,205.71073307604254,200.84321959490356,202.27508348808777,-1.4318638931842145,-1.3794849315326512,1.3133018274490607,1.3133018274490607,1.3133018274490607,-1.3133018274490607,-1.3133018274490607,1.3133018274490607,1.3133018274490607,1.3133018274490607,1.3133018274490607,5.9199981689453125,2.9239990234374984,201.6999969482422,195.39360397338865,195.94600372314449,196.49840347290035,0.0,0.9955209834109436,0.9977423556430618,1.0117337572620517,0.0,1.0,0.0,0.00137263,0.00137263,0.004998225,0.004998225,0.36948546918031067,-1
2024-02-09,202.2200012207031,203.0,197.0800018310547,198.3800048828125,198.3800048828125,1484800.0,-1.3133018274490607,0.8424703050851242,0.7708234159668156,0.7185809258298804,1.083039435399548,199.34800415039064,200.01700286865236,201.7960006713867,206.5745007832845,205.67440017700196,199.57375785202112,200.2156498956255,202.36185071054223,204.23993107978907,205.56557014152315,200.4642634853511,201.98655914695627,-1.5222956616051704,-1.4080470775471552,1.2803752809777091,1.2803752809777091,1.2803752809777091,-1.2803752809777091,-1.2803752809777091,1.2803752809777091,1.2803752809777091,1.2803752809777091,1.2803752809777091,4.4499969482421875,3.0519989013671873,203.0,195.2671990966797,195.85199890136718,196.4367987060547,0.0,0.9966552907569511,0.9967939966534135,1.0727023056959115,1.0,2.0,0.0,0.974644601,0.326175811,0.024163017,0.0117545749999999,1.3133018274490607,-1
2024-02-12,197.6100006103516,198.3600006103516,193.9100036621094,195.8399963378906,195.8399963378906,1140100.0,-1.2803752809777091,0.9803094781718443,0.8359930844856245,0.7576631023227511,1.0941262637479614,198.84600219726562,199.31100311279297,201.4480005900065,206.37016728719075,205.62880020141603,198.32917068064427,199.42007652149186,201.94108591230665,203.9645233833334,205.37298452164924,199.75283777035716,201.53125819813658,-1.778420427779423,-1.4821217475936088,0.6791267646676127,0.6791267646676127,0.6791267646676127,-0.6791267646676127,-0.6791267646676127,0.6791267646676127,0.6791267646676127,0.6791267646676127,0.6791267646676127,3.559997558593807,3.127498626708983,198.3600006103516,196.2856024169922,196.89600219726563,197.50640197753907,0.0,0.9976669581294305,0.9945296087541616,1.1033836568294522,0.0,0.0,1.0,0.001400544,0.001400544,0.997921169,0.997921169,1.2803752809777091,-1
