Date_STX,Open_STX,High_STX,Low_STX,Close_STX,Adj Close_STX,Volume_STX,Daily Return(%)_STX,Vol5_STX,Vol10_STX,Vol20_STX,Vol60_STX,SMA5_STX,SMA10_STX,SMA30_STX,SMA60_STX,SMA100_STX,EMA5_STX,EMA10_STX,EMA30_STX,EMA60_STX,EMA100_STX,Short12_STX,Long26_STX,MACD_STX,SIGNAL9_STX,Ret5/10_STX,Ret10/30_STX,Ret30/60_STX,Ret30/100_STX,Emaret5/10_STX,Emaret10/30_STX,Emaret30/60_STX,Emaret30/100_STX,RetMACD_STX,DayRange_STX,average20r_STX,PRVHI_STX,HitLevel_STX,hitlevel_2_STX,hitlevel_1.8_STX,Hit?_STX,Hit?_STX.1,Hit?_STX.2,HitAt_2.2_STX,HitAt_2.0_STX,HitAt_1.8_STX,ExitPr_2.2_STX,ExitPr_2.0_STX,ExitPr_1.8_STX,ret_2.2_STX,Ret2.0_STX,Ret_1.8_STX
2015-12-16,34.59000015258789,34.9900016784668,34.06999969482422,34.77999877929688,25.28719520568848,3919800,1.547441691377758,3.4574301512736327,2.646061611508788,2.4517512243930843,3.3072184720002307,34.97999954223633,34.93699989318848,35.34499994913737,38.93266671498616,43.19510005950928,34.7715414707272,34.92314986110981,36.03891485061363,38.70535684960182,41.738364999143506,34.968216503758974,35.71517267326022,-0.7469561695012459,-0.953492948440172,-2.4726872930872354,2.4726872930872354,2.4726872930872354,2.4726872930872354,-2.4726872930872354,2.4726872930872354,2.4726872930872354,2.4726872930872354,-2.4726872930872354,1.5499992370605469,1.2734998703002929,34.9900016784668,32.29750087738037,32.545000839233396,32.792500801086426,,,,,,,,,,0.0,0.0,0.0
2015-12-17,34.91999816894531,35.0,33.45000076293945,33.91999816894531,24.66192245483398,4021800,-2.4726872930872354,3.36277985653802,2.6708872732289084,2.4987763266810634,3.318702336983116,34.519998931884764,34.95199966430664,35.181999842325844,38.77216669718425,43.04560005187988,34.487693703466576,34.74075864435263,35.902210548570515,38.54845984367866,41.58354585399106,34.806952144556874,35.58219678405171,-0.7752446394948365,-0.9178432866511049,-0.5306613056971488,-0.5306613056971488,-0.5306613056971488,-0.5306613056971488,0.5306613056971488,-0.5306613056971488,-0.5306613056971488,-0.5306613056971488,0.5306613056971488,1.1800003051757741,1.2770000457763673,35.0,32.188301963806154,32.443001937866214,32.697701911926266,,,,,,,,,,0.0,0.0,0.0
2015-12-18,33.70000076293945,34.68999862670898,33.5099983215332,34.09999847412109,24.79279136657715,6627300,0.5306613056971488,3.456553691376367,2.5914203930127644,2.5011354952093185,3.3139756765185733,34.14399871826172,34.916999435424806,35.02299982706706,38.605500030517575,42.89240005493164,34.35846196035141,34.62425679521962,35.78593880183184,38.40260865123415,41.43535679696394,34.69819004141291,35.472404316649445,-0.7742142752365382,-0.8891174843681916,-1.759537582600526,-1.759537582600526,-1.759537582600526,-1.759537582600526,1.759537582600526,-1.759537582600526,-1.759537582600526,-1.759537582600526,1.759537582600526,0.8299980163574148,1.2734998703002922,34.68999862670898,32.19059989929199,32.44599990844726,32.70139991760254,,,,,,,,,,0.0,0.0,0.0
2015-12-21,34.29000091552734,34.97999954223633,34.15000152587891,34.70000076293945,25.22902870178223,2476200,1.759537582600526,1.799104075496901,2.5810306098038276,2.5309002114135297,3.310350237804733,34.349999237060544,34.87699966430664,34.885999806722005,38.469000053405765,42.726500053405765,34.47230822788076,34.63802842571413,35.715878283193625,38.28121167129006,41.30198341015157,34.698468613955455,35.41518923859685,-0.7167206246413969,-0.8546381124228327,-2.161383237780849,-2.161383237780849,-2.161383237780849,-2.161383237780849,2.161383237780849,-2.161383237780849,-2.161383237780849,-2.161383237780849,2.161383237780849,1.4399986267089773,1.3044998168945299,34.97999954223633,31.888298912048334,32.142998886108394,32.397698860168454,,,,,,,,,,0.0,0.0,0.0
2015-12-22,34.56999969482422,35.59000015258789,34.15000152587891,35.45000076293945,25.77432441711426,2926900,2.161383237780849,1.8755599035686141,2.6624627453791168,2.5688968188945696,3.31843378081834,34.58999938964844,34.87899971008301,34.79166653951009,38.35866673787435,42.57500007629395,34.798205739566995,34.7856597597551,35.69872489479013,38.18838508413102,41.18610256565232,34.81408894456838,35.417767870029635,-0.6036789254612529,-0.8044462750305168,-3.300417894965104,3.300417894965104,-3.300417894965104,-3.300417894965104,3.300417894965104,3.300417894965104,-3.300417894965104,-3.300417894965104,3.300417894965104,1.7900009155273366,1.3609998703002912,35.59000015258789,32.11009994506836,32.37099990844727,32.63189987182617,,,,,,,,,,0.0,0.0,0.0
2015-12-23,35.65000152587891,37.25,35.45999908447266,36.61999893188477,26.62498092651367,3804700,3.300417894965104,2.206913205214266,2.852180004153039,2.640278527345671,3.348894915198565,34.95799942016602,34.96899948120117,34.794333140055336,38.27266674041748,42.42660007476807,35.40547013700626,35.119175972869584,35.7581619294414,38.136962587336065,41.09568467191435,35.09192125030937,35.50682202275965,-0.4149007724502809,-0.7265371745144698,-0.08192953268498754,0.08192953268498754,-0.08192953268498754,-0.08192953268498754,0.08192953268498754,0.08192953268498754,-0.08192953268498754,-0.08192953268498754,0.08192953268498754,0.7899971008300852,1.3444997787475574,37.25,32.59580043792725,32.86800041198731,33.14020038604737,,,,,,,,,,0.0,0.0,0.0
2015-12-24,36.47999954223633,37.2599983215332,36.47000122070312,36.65000152587891,26.64680290222168,1818500,0.08192953268498754,1.2917557533918012,2.825351652475268,2.638181229384995,3.2055813833987146,35.50400009155273,35.01199951171875,34.81199989318848,38.13683344523112,42.279200096130374,35.82031393329715,35.39750789159855,35.81569996792124,38.08820976564895,41.00765134228988,35.3316259080893,35.59150198595367,-0.2598760778643694,-0.6332049551844497,0.24556657255343783,0.24556657255343783,-0.24556657255343783,-0.24556657255343783,0.24556657255343783,0.24556657255343783,-0.24556657255343783,-0.24556657255343783,0.24556657255343783,0.9200019836425781,1.362999916076659,37.2599983215332,34.29210048675537,34.561000442504884,34.829900398254395,,,,,,,,,,0.0,0.0,0.0
2015-12-28,36.72000122070312,37.18000030517578,36.2599983215332,36.7400016784668,26.71223258972168,2366000,0.24556657255343783,1.3537302396282853,2.8107137978256884,2.6379119766642436,3.1617668342839216,36.03200073242188,35.087999725341795,34.90066655476888,38.03483346303304,42.12800010681153,36.12687651502037,35.64159767102914,35.87533233634354,38.04400622180691,40.92314342815477,35.548299103531996,35.67657603725094,-0.12827693371894355,-0.5322193508913485,1.1159494520448434,1.1159494520448434,-1.1159494520448434,-1.1159494520448434,1.1159494520448434,1.1159494520448434,-1.1159494520448434,-1.1159494520448434,1.1159494520448434,0.6599998474120952,1.3329998016357412,37.18000030517578,34.261398506164554,34.53399848937988,34.80659847259522,,,,,,,,,,0.0,0.0,0.0
2015-12-29,37.04000091552734,37.43999862670898,36.77999877929688,37.15000152587891,27.01032447814941,3351000,1.1159494520448434,1.35464091010633,1.5543767108244213,2.5167249168317634,3.1640110607151524,36.52200088500977,35.43600006103516,35.03666661580404,37.93433348337809,41.98630012512207,36.46791818530655,35.915852917365456,35.95756905824905,38.01469459243222,40.84842774692159,35.794714860816136,35.78571866603819,0.00899619477794289,-0.42397624175749027,0.08075041201807372,0.08075041201807372,-0.08075041201807372,-0.08075041201807372,0.08075041201807372,0.08075041201807372,-0.08075041201807372,-0.08075041201807372,0.08075041201807372,0.9399986267089773,1.332499694824217,37.43999862670898,34.24740074157715,34.5140007019043,34.78060066223145,,,,,,,,,,0.0,0.0,0.0
2015-12-30,37.0,37.93999862670898,37.0,37.18000030517578,27.03214454650879,2704000,0.08075041201807372,1.3744324003014285,1.5561958568759098,2.495402196497146,3.11947428819838,36.868000793457036,35.729000091552734,35.13266665140788,37.80666681925456,41.86320011138916,36.70527889192963,36.145697896967334,36.03643559030884,37.987327566620536,40.77578561936226,36.00783569840993,35.88899878745579,0.11883691095413695,-0.3154136112151648,-1.3986026183310258,-1.3986026183310258,1.3986026183310258,1.3986026183310258,-1.3986026183310258,-1.3986026183310258,-1.3986026183310258,1.3986026183310258,-1.3986026183310258,0.75,1.269999694824217,37.93999862670898,34.5084992980957,34.77499923706054,35.04149917602539,,,,,,,,,,0.0,0.0,0.0
