Date_ANET,Open_ANET,High_ANET,Low_ANET,Close_ANET,Adj Close_ANET,Volume_ANET,Daily Return(%)_ANET,Vol5_ANET,Vol10_ANET,Vol20_ANET,Vol60_ANET,SMA5_ANET,SMA10_ANET,SMA30_ANET,SMA60_ANET,SMA100_ANET,EMA5_ANET,EMA10_ANET,EMA30_ANET,EMA60_ANET,EMA100_ANET,Short12_ANET,Long26_ANET,MACD_ANET,SIGNAL9_ANET,Ret5/10_ANET,Ret10/30_ANET,Ret30/60_ANET,Ret30/100_ANET,Emaret5/10_ANET,Emaret10/30_ANET,Emaret30/60_ANET,Emaret30/100_ANET,RetMACD_ANET,DayRange_ANET,average20r_ANET,PRVHI_ANET,HitLevel_ANET,hitlevel_2_ANET,hitlevel_1.8_ANET,Hit?_ANET,Hit?_ANET.1,Hit?_ANET.2,HitAt_2.2_ANET,HitAt_2.0_ANET,HitAt_1.8_ANET,ExitPr_2.2_ANET,ExitPr_2.0_ANET,ExitPr_1.8_ANET,ret_2.2_ANET,Ret2.0_ANET,Ret_1.8_ANET
11-07-2014,17.20000076,17.625,17.08749962,17.40749931,17.40749931,766800,2.790078904,4.574138917,7.949694556,5.861215953,,17.54349976,17.5892499,,,,17.5106639,17.42453949,,,,17.34735176,,,,0.976591027,-0.976591027,0.0,0.0,0.976591027,-0.976591027,-0.976591027,0.0,0.0,0.867500305,1.075075054,17.625,15.12775976,15.34659977,15.56543978,,,,,,,,,,,,
14-07-2014,17.85000038,18.0,17.13249969,17.23749924,17.23749924,524000,-0.976591027,4.053918304,7.912493341,5.747081231,,17.38249969,17.74924984,,,,17.41960901,17.39053217,,,,17.33045137,16.74115375,0.589297617,,3.277729669,-3.277729669,0.0,0.0,3.277729669,-3.277729669,-3.277729669,0.0,0.0,1.13999939,1.08376255,18.0,15.25983488,15.47484989,15.6898649,,,,,,,,,,,,
15-07-2014,17.36249924,17.63999939,16.5,16.67250061,16.67250061,904400,-3.277729669,3.965054954,8.032550686,5.758438923,,17.2454998,17.85674992,,,,17.17057288,17.25998098,,,,17.22922818,16.73606834,0.493159841,,3.238871769,-3.238871769,0.0,0.0,3.238871769,3.238871769,-3.238871769,0.0,0.0,1.097499847,1.093262577,17.63999939,15.61572239,15.8324749,16.04922741,,,,,,,,,,,,
16-07-2014,16.76749992,17.0,15.90250015,16.13249969,16.13249969,990800,-3.238871769,3.218859648,3.321495077,5.77621167,,16.87699966,17.56999989,,,,16.82454848,17.05498438,,,,17.06050072,16.69135955,0.36914117,,1.193244185,-1.193244185,0.0,0.0,1.193244185,1.193244185,-1.193244185,0.0,0.0,0.627500534,1.085637569,17.0,15.23482172,15.45347424,15.67212675,,,,,,,,,,,,
17-07-2014,15.97249985,16.40500069,15.77750015,15.93999958,15.93999958,520800,-1.193244185,2.471967698,3.315098777,5.777163741,,16.67799969,17.28024988,,,,16.52969885,16.85225987,,,,16.88811593,16.63570325,0.252412674,,-0.376414186,0.376414186,0.0,0.0,-0.376414186,-0.376414186,0.376414186,0.0,0.0,0.387500763,1.051262665,16.40500069,14.61159735,14.82872486,15.04585238,,,,,,,,,,,,
18-07-2014,16.00749969,16.22500038,15.83749962,16.0,16.0,494800,0.376414186,1.576527577,3.22585374,5.678844179,,16.39649982,16.96999979,16.66716658,,,16.35313257,16.69730353,16.66716658,,,16.75148271,16.58861412,0.162868584,,1.203125715,-1.203125715,-1.203125715,0.0,1.203125715,1.203125715,-1.203125715,-1.203125715,0.0,0.430001259,1.022762728,16.22500038,14.09222282,14.30247536,14.51272789,,,,,,,,,,,,
21-07-2014,16.03249931,16.18250084,15.75249958,15.80749989,15.80749989,574800,-1.203125715,1.555013772,2.930301533,5.682645122,,16.11049995,16.74649982,16.73574991,,,16.17125501,16.53552105,16.61170422,,,16.60625458,16.53075381,0.075500772,,-3.605887412,3.605887412,3.605887412,0.0,-3.605887412,-3.605887412,-3.605887412,3.605887412,0.0,0.875,1.035637712,16.18250084,13.97492238,14.17947493,14.38402747,,,,,,,,,,,,
22-07-2014,15.93999958,16.73999977,15.86499977,16.37750053,16.37750053,943600,3.605887412,2.547513641,3.149284474,5.737685538,,16.05149994,16.64849987,16.82166659,,,16.24000352,16.50679005,16.5965943,,,16.57106165,16.51940172,0.051659936,,1.053278002,1.053278002,-1.053278002,0.0,1.053278002,1.053278002,1.053278002,-1.053278002,0.0,0.569999695,1.028137684,16.73999977,13.90409787,14.11122541,14.31835296,,,,,,,,,,,,
23-07-2014,16.47249985,16.67000008,16.10000038,16.20499992,16.20499992,591600,-1.053278002,2.065678181,2.801980859,5.719425615,,16.06599998,16.47149982,16.86183325,,,16.22833565,16.45191912,16.57133015,,,16.51474446,16.49611269,0.018631768,,0.879357756,0.879357756,-0.879357756,0.0,0.879357756,0.879357756,0.879357756,-0.879357756,0.0,0.597500801,1.016037703,16.67000008,14.47809687,14.6837244,14.88935194,,,,,,,,,,,,
24-07-2014,16.27750015,16.54000092,15.94250011,16.0625,16.0625,730400,-0.879357756,2.020579232,2.244007479,5.724188744,,16.09050007,16.38424988,16.86808325,,,16.1730571,16.38111564,16.5385024,,,16.44516839,16.46399323,-0.018824844,0.221538613,0.949417292,0.949417292,-0.949417292,0.0,0.949417292,0.949417292,0.949417292,-0.949417292,0.949417292,0.567500114,1.015537739,16.54000092,14.43471713,14.63792467,14.84113221,,,,,,,,,,,,
