Date_TYL,Open_TYL,High_TYL,Low_TYL,Close_TYL,Adj Close_TYL,Volume_TYL,Daily Return(%)_TYL,Vol5_TYL,Vol10_TYL,Vol20_TYL,Vol60_TYL,SMA5_TYL,SMA10_TYL,SMA30_TYL,SMA60_TYL,SMA100_TYL,EMA5_TYL,EMA10_TYL,EMA30_TYL,EMA60_TYL,EMA100_TYL,Short12_TYL,Long26_TYL,MACD_TYL,SIGNAL9_TYL,Ret5/10_TYL,Ret10/30_TYL,Ret30/60_TYL,Ret30/100_TYL,Emaret5/10_TYL,Emaret10/30_TYL,Emaret30/60_TYL,Emaret30/100_TYL,RetMACD_TYL,DayRange_TYL,average20r_TYL,PRVHI_TYL,HitLevel_TYL,hitlevel_2_TYL,hitlevel_1.8_TYL,Hit?_TYL,Hit?_TYL.1,Hit?_TYL.2,HitAt_2.2_TYL,HitAt_2.0_TYL,HitAt_1.8_TYL,ExitPr_2.2_TYL,ExitPr_2.0_TYL,ExitPr_1.8_TYL,ret_2.2_TYL,Ret2.0_TYL,Ret_1.8_TYL
2019-06-21,220.7799987792969,225.4799957275391,220.1999969482422,223.8000030517578,223.8000030517578,237300,0.788110775027592,1.115828689578908,1.0209455987573133,1.233900465213557,1.423355578669726,222.21799926757814,221.1729995727539,216.83133392333986,216.71616694132487,211.6090998840332,222.43442128859246,221.03914580519444,218.27885933741666,215.38318998583037,212.52391916389914,220.5789305912288,218.6592424978193,1.919688093409519,1.2540047297551782,-2.4888325506101783,-2.4888325506101783,-2.4888325506101783,-2.4888325506101783,2.4888325506101783,-2.4888325506101783,-2.4888325506101783,-2.4888325506101783,-2.4888325506101783,7.470001220703097,4.952998352050791,225.4799957275391,218.1014051818847,219.0440048217773,219.98660446166988,,,,,,,,,,0.0,0.0,0.0
2019-06-24,223.7799987792969,225.1199951171875,217.6499938964844,218.2299957275391,218.2299957275391,179300,-2.4888325506101783,1.7340345526714842,1.3264032176096092,1.3627371783531237,1.4374299270846744,222.00599975585936,220.98699951171875,216.83133392333986,216.94550018310548,211.89679977416992,221.03294610157468,220.52839124562072,218.2757068464568,215.47652787900114,212.63691077902072,220.217555996815,218.6274464407615,1.5901095560535055,1.3212256950148435,-2.2819941461010855,-2.2819941461010855,2.2819941461010855,-2.2819941461010855,2.2819941461010855,-2.2819941461010855,-2.2819941461010855,-2.2819941461010855,-2.2819941461010855,6.559997558593693,5.033497619628912,225.1199951171875,214.58339935302735,215.57399902343752,216.56459869384767,,,,,,,,,,0.0,0.0,0.0
2019-06-25,217.9499969482422,219.3399963378906,212.7799987792969,213.25,213.25,153300,-2.2819941461010855,1.8809048667829849,1.500165893149732,1.4472542940851778,1.4704005021753683,220.44400024414062,220.36199951171875,216.9200007120768,217.09300028483074,212.13739974975587,218.43863073438314,219.20504738278058,217.9514676950725,215.40352696493554,212.64905115963418,219.14562430499728,218.22911707477917,0.9165072302181159,1.240282002055498,-0.8018788810631594,-0.8018788810631594,0.8018788810631594,-0.8018788810631594,0.8018788810631594,0.8018788810631594,-0.8018788810631594,-0.8018788810631594,0.8018788810631594,5.050003051757784,5.051497650146492,219.3399963378906,214.0463003540039,215.05299987792966,216.05969940185545,1.0,1.0,1.0,214.0463003540039,215.05299987792966,216.05969940185545,213.25,213.25,213.25,-0.37202247956957435,-0.8383979200258076,-1.3004273400517954
2019-06-26,214.3800048828125,215.8500061035156,210.8000030517578,211.5399932861328,211.5399932861328,191300,-0.8018788810631594,1.3177996996296104,1.390561303893532,1.3914541635703825,1.4671849641356765,217.7739990234375,219.2689987182617,216.93200073242187,217.17083358764648,212.28609970092774,216.13908491829972,217.81140118339007,217.53782418481833,215.27685372956495,212.62708961758466,217.975527225172,217.73362642376833,0.24190080140365922,1.0406057619251303,-0.7658175415489097,0.7658175415489097,-0.7658175415489097,0.7658175415489097,-0.7658175415489097,-0.7658175415489097,0.7658175415489097,0.7658175415489097,-0.7658175415489097,3.7199859619140057,5.096497344970706,215.8500061035156,208.22670150756832,209.23700103759762,210.24730056762692,,,,,,,,,,0.0,0.0,0.0
2019-06-27,212.8000030517578,216.1799926757812,212.4600067138672,213.1600036621094,213.1600036621094,172700,0.7658175415489097,1.5828988796939785,1.403718208664576,1.4024742047703984,1.4700269903744536,215.99599914550782,218.6459991455078,216.93166758219402,217.26950022379557,212.41179977416994,215.14605783290295,216.96569254315722,217.2553841510952,215.20744880932048,212.6376423709416,217.2346774462393,217.39483955253434,-0.16016210629504712,0.8004521882810949,-1.3417154068382529,1.3417154068382529,-1.3417154068382529,1.3417154068382529,-1.3417154068382529,-1.3417154068382529,-1.3417154068382529,1.3417154068382529,-1.3417154068382529,3.75,5.02549743652344,216.1799926757812,204.63771194458005,205.6570114135742,206.67631088256832,,,,,,,,,,0.0,0.0,0.0
2019-06-28,213.6300048828125,217.3800048828125,213.6300048828125,216.0200042724609,216.0200042724609,351500,1.3417154068382529,1.7342135795016516,1.4951481493852705,1.4339171987026247,1.4770641295401568,214.43999938964845,218.3289993286133,216.8990010579427,217.3915003458659,212.51519989013673,215.4373733127556,216.79374922121244,217.17568222344138,215.2340899720464,212.70461983433802,217.04780465027338,217.29299990215856,-0.24519525188517832,0.5913227002478403,-2.078506687145456,2.078506687145456,-2.078506687145456,2.078506687145456,-2.078506687145456,-2.078506687145456,-2.078506687145456,2.078506687145456,-2.078506687145456,3.3699951171876137,4.852497100830087,217.3800048828125,205.1238983154296,206.12899780273432,207.134097290039,,,,,,,,,,0.0,0.0,0.0
2019-07-01,220.1900024414062,220.5599975585938,217.1900024414062,220.5099945068359,220.5099945068359,110100,2.078506687145456,1.7545953639382081,1.6524323525347926,1.3662261282782713,1.4978533291527658,214.8959991455078,218.45099945068358,217.12566731770832,217.60450032552083,212.67759979248046,217.1282470441157,217.46943018223487,217.3907991449507,215.40707044859687,212.85918170904094,217.5804492435907,217.5312957988013,0.04915344478939687,0.4828888491561516,0.20860344952021512,-0.20860344952021512,0.20860344952021512,-0.20860344952021512,0.20860344952021512,0.20860344952021512,-0.20860344952021512,-0.20860344952021512,0.20860344952021512,3.509994506835909,4.839496612548833,220.5599975585938,206.7045112609863,207.67501068115232,208.64551010131834,,,,,,,,,,0.0,0.0,0.0
2019-07-02,220.5099945068359,221.5099945068359,218.0,220.0500030517578,220.0500030517578,86900,-0.20860344952021512,1.1593704205346829,1.6330421653601064,1.331368703896293,1.49545566185165,216.25599975585936,218.35,217.3646672566732,217.78133366902668,212.83899978637695,218.10216571332975,217.93862524942085,217.56236068732537,215.55929774706115,213.0015742108769,217.96038059869332,217.7178667064277,0.24251389226560605,0.43481385777804255,-0.45898409126512674,0.45898409126512674,-0.45898409126512674,0.45898409126512674,-0.45898409126512674,0.45898409126512674,0.45898409126512674,0.45898409126512674,-0.45898409126512674,2.2799987792969034,4.683496856689459,221.5099945068359,209.91310501098638,210.88100433349615,211.84890365600592,,,,,,,,,,0.0,0.0,0.0
2019-07-03,220.8899993896484,222.2299957275391,219.9499969482422,221.0599975585938,221.0599975585938,47600,0.45898409126512674,0.8695808772417163,1.526149305044519,1.2646997631039727,1.4959202758215084,218.16000061035157,217.96699981689454,217.49566701253255,217.96383361816407,212.96759979248046,219.0881096617511,218.5061474874523,217.7880146790201,215.73964856055403,213.16114695043564,218.4372447463703,217.96543195473632,0.4718127916339938,0.44221364454923284,0.42070385634731483,0.42070385634731483,-0.42070385634731483,0.42070385634731483,-0.42070385634731483,0.42070385634731483,0.42070385634731483,0.42070385634731483,0.42070385634731483,3.4400024414062216,4.582497406005865,222.2299957275391,211.2063014221191,212.143000793457,213.07970016479487,,,,,,,,,,0.0,0.0,0.0
2019-07-05,220.3300018310547,222.0200042724609,218.5800018310547,221.9900054931641,221.9900054931641,86100,0.42070385634731483,0.8949589215872461,1.4833680651129924,1.2395247573264296,1.494729662003103,219.9260009765625,217.96100006103515,217.5586669921875,218.13883361816406,213.11219985961915,220.0554082722221,219.1395762157635,218.0591108605778,215.94457829604946,213.33597583246987,218.9838233228001,218.26354851313837,0.7202748096617313,0.4978258775717326,-1.3964620148681166,-1.3964620148681166,1.3964620148681166,-1.3964620148681166,1.3964620148681166,-1.3964620148681166,-1.3964620148681166,-1.3964620148681166,-1.3964620148681166,4.2100067138671875,4.591497802734381,222.0200042724609,212.1485014343262,213.06500091552735,213.98150039672853,,,,,,,,,,0.0,0.0,0.0
2019-07-08,221.5700073242188,221.6100006103516,217.3999938964844,218.8899993896484,218.8899993896484,144300,-1.3964620148681166,1.2584989101175854,1.5160939654158905,1.2739032897700913,1.5043895204023034,220.5,217.46999969482422,217.7423334757487,218.23583348592123,213.20469985961915,219.66693864469755,219.0941986110153,218.11271657213075,216.04114947944612,213.44595649696845,218.969388871546,218.30995228176874,0.6594365897772434,0.5301480200128348,1.6629354469360167,-1.6629354469360167,-1.6629354469360167,1.6629354469360167,-1.6629354469360167,1.6629354469360167,1.6629354469360167,1.6629354469360167,1.6629354469360167,5.5,4.65899810791016,221.6100006103516,211.91870910644528,212.83700866699215,213.75530822753902,,,,,,,,,,0.0,0.0,0.0
2019-07-09,217.2400054931641,222.7400054931641,217.2400054931641,222.5299987792969,222.5299987792969,223400,1.6629354469360167,1.1147680268890352,1.3859597629803226,1.328165953364447,1.5184428033323791,220.90400085449224,217.9,217.97833353678385,218.3841667175293,213.29709991455078,220.62129202289734,219.71888955070284,218.3977025209802,216.2538986368183,213.6258385223611,219.51717501119998,218.62254831862268,0.8946266925773045,0.6030437545257288,1.1998374078064695,-1.1998374078064695,-1.1998374078064695,1.1998374078064695,-1.1998374078064695,1.1998374078064695,1.1998374078064695,1.1998374078064695,1.1998374078064695,3.7199859619140057,4.690497589111331,222.7400054931641,211.36020477294923,212.29200439453126,213.2238040161133,,,,,,,,,,0.0,0.0,0.0
2019-07-10,223.9700012207031,227.1799926757812,223.4600067138672,225.1999969482422,225.1999969482422,117300,1.1998374078064695,1.1664032678944722,1.0998667674289835,1.3492673896441112,1.5129006630895756,221.93399963378906,219.09499969482422,218.24466654459636,218.52083333333334,213.3915998840332,222.1475269980123,220.71545453207364,218.83656022596486,216.5472133355535,213.85502977831916,220.39145530920646,219.10976673563152,1.2816885735749395,0.738772718335571,0.5905869667309058,0.5905869667309058,-0.5905869667309058,0.5905869667309058,-0.5905869667309058,0.5905869667309058,0.5905869667309058,0.5905869667309058,0.5905869667309058,2.7700042724609943,4.52149810791016,227.1799926757812,212.42091079711918,213.35901031494143,214.29710983276368,,,,,,,,,,0.0,0.0,0.0
