Date_INTC,Open_INTC,High_INTC,Low_INTC,Close_INTC,Adj Close_INTC,Volume_INTC,Daily Return(%)_INTC,Vol5_INTC,Vol10_INTC,Vol20_INTC,Vol60_INTC,SMA5_INTC,SMA10_INTC,SMA30_INTC,SMA60_INTC,SMA100_INTC,EMA5_INTC,EMA10_INTC,EMA30_INTC,EMA60_INTC,EMA100_INTC,Short12_INTC,Long26_INTC,MACD_INTC,SIGNAL9_INTC,Ret5/10_INTC,Ret10/30_INTC,Ret30/60_INTC,Ret30/100_INTC,Emaret5/10_INTC,Emaret10/30_INTC,Emaret30/60_INTC,Emaret30/100_INTC,RetMACD_INTC,DayRange_INTC,average20r_INTC,PRVHI_INTC,HitLevel_INTC,hitlevel_2_INTC,hitlevel_1.8_INTC,Hit?_INTC,Hit?_INTC.1,Hit?_INTC.2,HitAt_2.2_INTC,HitAt_2.0_INTC,HitAt_1.8_INTC,ExitPr_2.2_INTC,ExitPr_2.0_INTC,ExitPr_1.8_INTC,ret_2.2_INTC,Ret2.0_INTC,Ret_1.8_INTC
2014-09-04,34.52999877929688,35.09000015258789,34.52000045776367,34.90999984741211,29.07778930664062,27632400,0.9835121654305223,0.8239150938579276,0.8589427304829467,0.9454302451406844,1.7575333305939338,34.72399978637695,34.81100006103516,34.120666376749675,32.6783332824707,30.293600025177003,34.74826842197748,34.661181158559316,33.961802481525865,32.5885805205221,31.048146134307558,34.60894340050756,34.1296843406069,0.479259059900663,0.5384667253610382,-0.2578062245238376,0.2578062245238376,0.2578062245238376,0.2578062245238376,-0.2578062245238376,0.2578062245238376,0.2578062245238376,0.2578062245238376,-0.2578062245238376,0.28999710083008523,0.43899974822998084,35.09000015258789,33.87900123596191,33.97000122070312,34.06100120544433,,,,,,,,,,0.0,0.0,0.0
2014-09-05,34.91999816894531,35.11999893188477,34.83000183105469,35.0,29.15275001525879,20841900,0.2578062245238376,0.7807280113302989,0.604387974626883,0.9254513980174484,1.7470447991156288,34.79399948120117,34.795999908447264,34.14566637674967,32.796166610717776,30.37800003051758,34.832178947984985,34.7227845842758,34.028782966588714,32.66764345427548,31.126400666301468,34.66910595427563,34.194152167228616,0.4749537870470135,0.5257641376982334,-0.9428623744419643,0.9428623744419643,0.9428623744419643,0.9428623744419643,-0.9428623744419643,0.9428623744419643,0.9428623744419643,0.9428623744419643,-0.9428623744419643,0.6800003051757955,0.44999980926513744,35.11999893188477,34.124200706481936,34.21200065612793,34.299800605773925,,,,,,,,,,0.0,0.0,0.0
2014-09-08,34.95999908447266,35.56000137329102,34.88000106811523,35.33000183105469,29.4276123046875,24859600,0.9428623744419643,0.8136266703542732,0.64195969905865,0.9235445837427791,1.7480729987078438,34.876000213623044,34.83500022888184,34.181666437784834,32.918999989827476,30.463600044250487,34.998119909008224,34.83318772005378,34.11273257074781,32.7549338928584,31.209640293326284,34.77078224301087,34.27828917936388,0.4924930636469895,0.5191099228879846,-1.188796948415103,-1.188796948415103,-1.188796948415103,-1.188796948415103,1.188796948415103,-1.188796948415103,-1.188796948415103,-1.188796948415103,1.188796948415103,0.44000244140625,0.45049991607666123,35.56000137329102,34.12999935150147,34.2199993133545,34.309999275207524,,,,,,,,,,0.0,0.0,0.0
2014-09-09,35.29000091552734,35.29000091552734,34.84999847412109,34.90999984741211,29.07778930664062,22333100,-1.188796948415103,0.8856960655931869,0.7528879203521552,0.9643200978928756,1.5429735617356877,34.944000244140625,34.84500007629394,34.20433311462402,33.00299997329712,30.54340003967285,34.96874655514286,34.84715356139166,34.16416916924228,32.8255917930077,31.282914739941845,34.79220033599568,34.32508256218227,0.46711777381341335,0.5087114930730704,0.31509771077732296,0.31509771077732296,0.31509771077732296,0.31509771077732296,-0.31509771077732296,0.31509771077732296,0.31509771077732296,0.31509771077732296,-0.31509771077732296,0.46000289916991477,0.45000000000000034,35.29000091552734,34.568901557922366,34.6590015411377,34.74910152435303,,,,,,,,,,0.0,0.0,0.0
2014-09-10,34.84999847412109,35.13000106811523,34.66999816894531,35.02000045776367,29.16940879821777,19964200,0.31509771077732296,0.8791760448844275,0.7576803948788721,0.9642792448975215,1.542768314095474,35.034000396728516,34.86700019836426,34.23199984232585,33.086499977111814,30.623200035095216,34.985831189349796,34.87858026982293,34.21938409108237,32.89753961808167,31.356916437324454,34.82724650857537,34.376557961854964,0.45068854672040715,0.4971069038025378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49000167846678977,0.4284999847412106,35.13000106811523,34.300000915527335,34.39000091552734,34.480000915527334,,,,,,,,,,0.0,0.0,0.0
2014-09-11,34.79000091552734,35.02000045776367,34.52999877929688,35.02000045776367,29.16940879821777,21949000,0.0,0.7820799936372069,0.7573372382211411,0.7369277399812607,1.5419540610443172,35.056000518798825,34.89000015258789,34.2543332417806,33.170999972025555,30.703900032043457,34.997220945487754,34.904293031266704,34.27103675990052,32.96712849807125,31.429452754560874,34.85690096229665,34.42422036895931,0.4326805933373379,0.48422164170949783,-1.1422087968311885,-1.1422087968311885,-1.1422087968311885,-1.1422087968311885,1.1422087968311885,-1.1422087968311885,-1.1422087968311885,-1.1422087968311885,1.1422087968311885,0.4099998474121094,0.4245000839233395,35.02000045776367,34.18730110168456,34.273001098632804,34.35870109558105,,,,,,,,,,0.0,0.0,0.0
2014-09-12,34.90000152587891,34.90999984741211,34.5,34.61999893188477,28.83622932434082,26732600,-1.1422087968311885,0.9321842289610063,0.8400637148701999,0.7801070695675452,1.55217901499218,34.98000030517578,34.886999893188474,34.27866655985515,33.249166615804036,30.781700019836425,34.87148027428676,34.85260319501544,34.29355044841564,33.021320971311034,31.49263188678511,34.820454496079435,34.43872248473157,0.3817320113478644,0.4637237156371712,-0.23107457777463558,-0.23107457777463558,-0.23107457777463558,-0.23107457777463558,0.23107457777463558,-0.23107457777463558,-0.23107457777463558,-0.23107457777463558,0.23107457777463558,0.5400009155273438,0.4265001296997067,34.90999984741211,34.086100273132324,34.17100028991699,34.25590030670166,,,,,,,,,,0.0,0.0,0.0
2014-09-15,34.70999908447266,34.77000045776367,34.22999954223633,34.54000091552734,28.76960182189941,22438000,-0.23107457777463558,0.6820511300491755,0.7947360136624348,0.7712345302402362,1.5529835371437561,34.822000122070314,34.84900016784668,34.3053332010905,33.32333329518636,30.8596000289917,34.76098715470029,34.795766416926696,34.309450478551874,33.0711137563673,31.55297582794832,34.77730779137911,34.44622459071644,0.3310832006626683,0.43719561264227064,-1.1291238544036104,1.1291238544036104,1.1291238544036104,1.1291238544036104,-1.1291238544036104,-1.1291238544036104,1.1291238544036104,1.1291238544036104,-1.1291238544036104,0.6100006103515696,0.43250007629394566,34.77000045776367,33.97169956207276,34.056999588012694,34.14229961395264,,,,,,,,,,0.0,0.0,0.0
2014-09-16,34.47000122070312,35.08000183105469,34.47000122070312,34.93000030517578,29.09444427490234,20875700,1.1291238544036104,0.8263227572498894,0.8133966676473615,0.7955585761560405,1.5571393213198679,34.82600021362305,34.885000228881836,34.33466657002767,33.4021666208903,30.941400032043457,34.81732487152546,34.82017257842653,34.34948595123729,33.13206085632824,31.619847599774605,34.80079894734783,34.48205982882454,0.31873911852328973,0.4135043138184745,-0.14314124427058247,0.14314124427058247,0.14314124427058247,0.14314124427058247,-0.14314124427058247,-0.14314124427058247,0.14314124427058247,0.14314124427058247,-0.14314124427058247,0.45999908447265625,0.44300003051757847,35.08000183105469,33.81850028991699,33.90500030517578,33.99150032043457,,,,,,,,,,0.0,0.0,0.0
2014-09-17,34.90999984741211,35.20000076293945,34.7400016784668,34.97999954223633,29.13609313964844,26278900,0.14314124427058247,0.8141568571277333,0.8125707348988404,0.7928754035330077,1.5570756727787833,34.81800003051758,34.92600021362305,34.4066665649414,33.481333287556964,31.028600025177003,34.87154976176242,34.849232026391945,34.39016424743078,33.19264900996456,31.68638526200157,34.82836826963837,34.51894425204023,0.30942401759813976,0.3926882545744076,-0.5431636054756719,0.5431636054756719,0.5431636054756719,0.5431636054756719,-0.5431636054756719,0.5431636054756719,0.5431636054756719,0.5431636054756719,-0.5431636054756719,0.30999755859375,0.4420000076293949,35.20000076293945,34.105401763916014,34.19400177001953,34.282601776123045,,,,,,,,,,0.0,0.0,0.0
