Date_INTC_L01d,Open_INTC_L01d,High_INTC_L01d,Low_INTC_L01d,Close_INTC_L01d,Adj Close_INTC_L01d,Volume_INTC_L01d,Daily_Return_INTC_L01d,Vol5_INTC_L01d,Vol10_INTC_L01d,Vol20_INTC_L01d,Vol60_INTC_L01d,SMA5_INTC_L01d,SMA10_INTC_L01d,SMA30_INTC_L01d,SMA60_INTC_L01d,SMA100_INTC_L01d,EMA5_INTC_L01d,EMA10_INTC_L01d,EMA30_INTC_L01d,EMA60_INTC_L01d,EMA100_INTC_L01d,Short12_INTC_L01d,Long26_INTC_L01d,MACD_INTC_L01d,SIGNAL9_INTC_L01d,Ret5/10_INTC_L01d,Ret10/30_INTC_L01d,Ret30/60_INTC_L01d,Ret30/100_INTC_L01d,Emaret5/10_INTC_L01d,Emaret10/30_INTC_L01d,Emaret30/60_INTC_L01d,Emaret30/100_INTC_L01d,RetMACD_INTC_L01d,DayRange_INTC_L01d,average20r_INTC_L01d,PRVHI_INTC_L01d,HitLevel_INTC_L01d,hitlevel_2_INTC_L01d,hitlevel_1.8_INTC_L01d,positive_return_dummy,sma_ratio_L01d,ema_ratio_L01d,volatility_ratio_L01d,negative_L01d,neutral_L01d,positive_L01d,negative_max_L01d,negative_avg_L01d,positive_max_L01d,positive_avg_L01d,ret_logit,logit,ret_tree,tree,ret_xgb,xgb,ret_rf,rf
2023-04-13,31.81999969482422,32.43000030517578,31.64999961853027,32.13000106811523,32.13000106811523,29722300.0,0.3435371916894657,0.5695141749903384,1.048440008576856,2.5556310411232896,2.5526609607134327,32.36600036621094,32.54099998474121,29.555333391825357,28.797333335876466,28.603800029754638,32.26360918712539,32.00327459840997,30.328569390503844,29.392123260617655,29.407764879870527,31.814991967911876,30.577880870442712,1.237111097469164,1.2215621449664553,0.7469706520021131,-0.7469706520021131,-0.7469706520021131,-0.7469706520021131,0.7469706520021131,-0.7469706520021131,-0.7469706520021131,-0.7469706520021131,-0.7469706520021131,0.5500011444091761,0.9550004005432131,32.43000030517578,30.6426985168457,30.846998596191405,31.051298675537108,0.0,0.9946221806763058,1.008134623471573,0.4102470159839778,0.0,1.0,0.0,0.0118504706770181,0.0118504706770181,0.076654032,0.076654032,-0.3435371916894657,-1,-0.3435371916894657,1,-0.3435371916894657,-1,-0.3435371916894657,-1
2023-04-14,32.0,32.2400016784668,31.69000053405762,31.88999938964844,31.88999938964844,24623600.0,-0.7469706520021131,0.5406292626848721,0.9149087047232501,2.205666126743951,2.528392201381969,32.18199996948242,32.520999908447266,29.745000012715657,28.848666667938232,28.623800029754637,32.13907258796641,31.982679105907877,30.429306809803496,29.474020838618664,29.45691803847999,31.826531571255963,30.675074834828322,1.1514567364276402,1.2075410632586925,-0.7839448252894824,0.7839448252894824,0.7839448252894824,0.7839448252894824,-0.7839448252894824,0.7839448252894824,0.7839448252894824,0.7839448252894824,-0.7839448252894824,0.8699989318847692,0.9205003738403326,32.2400016784668,30.32899942398071,30.519999504089355,30.710999584198,1.0,0.9895759681461457,1.0048899431326765,0.41479927248729026,0.0,0.0,1.0,0.006051295,0.006051295,0.8951587677001953,0.8951587677001953,0.7469706520021131,1,-0.7469706520021131,1,0.7469706520021131,-1,0.7469706520021131,-1
2023-04-17,31.95000076293945,32.63999938964844,31.77000045776367,32.13999938964844,32.13999938964844,29601100.0,0.7839448252894824,0.7639049914376873,0.7192864883551706,2.1781732195605032,2.5211675081590967,32.10599975585937,32.46800003051758,29.936333338419598,28.91066665649414,28.646500015258788,32.13938152186042,32.01128279386071,30.5396740730193,29.56142997143931,29.510048362265504,31.87475738947019,30.783587764815,1.0911696246551905,1.184266775537992,0.9645285371169925,-0.9645285371169925,-0.9645285371169925,-0.9645285371169925,0.9645285371169925,-0.9645285371169925,-0.9645285371169925,-0.9645285371169925,0.9645285371169925,0.679998397827152,0.8910002708435067,32.63999938964844,30.214900856018065,30.39900093078613,30.583101005554198,0.0,0.9888505521030567,1.0040016743104179,0.3302246496723999,0.0,0.0,2.0,0.0176141951233148,0.0105940920616573,0.982362688,0.8933273555909577,0.7839448252894824,1,0.7839448252894824,1,-0.7839448252894824,-1,-0.7839448252894824,-1
2023-04-18,32.43000030517578,32.45999908447266,31.78000068664551,31.82999992370605,31.82999992370605,26041400.0,-0.9645285371169925,0.8286758574534643,0.6941976336339558,2.1185419609536256,2.502799161744833,32.00200004577637,32.36200008392334,30.131000010172524,28.954166666666666,28.675400009155272,32.036254322475635,31.978322272014406,30.622920902095863,29.63580931413658,29.555987997145515,31.867871625506478,30.86109977658471,1.006771848921769,1.1487677902147475,2.1363503198419327,-2.1363503198419327,-2.1363503198419327,-2.1363503198419327,2.1363503198419327,-2.1363503198419327,-2.1363503198419327,-2.1363503198419327,2.1363503198419327,0.4400005340576172,0.8535002708435068,32.45999908447266,30.679798793792724,30.857998847961426,31.036198902130124,0.0,0.9888758408870467,1.0018116038098699,0.32767707528505813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9645285371169925,-1,-0.9645285371169925,-1,0.9645285371169925,-1,0.9645285371169925,-1
2023-04-19,31.10000038146973,31.52000045776367,31.07999992370605,31.14999961853027,31.14999961853027,25746600.0,-2.1363503198419327,1.151605463672313,0.8110707423881177,2.1005154060846,2.479295259344263,31.827999877929688,32.167000198364256,30.31833330790202,28.96883331934611,28.688700008392335,31.740836087827184,31.827718153199108,30.656925980575505,29.68545489788719,29.587552583707588,31.757429778279366,30.88249976487697,0.8749300134023947,1.094000234852277,0.9309759606102805,-0.9309759606102805,-0.9309759606102805,-0.9309759606102805,0.9309759606102805,0.9309759606102805,-0.9309759606102805,-0.9309759606102805,0.9309759606102805,0.5400009155273402,0.8295002937316903,31.52000045776367,30.58229848861695,30.75299854278565,30.923698596954353,0.0,0.989461239209623,0.9972702389485251,0.3861293947374415,0.0,0.0,1.0,0.072227046,0.072227046,0.9237409830093384,0.9237409830093384,2.1363503198419327,1,2.1363503198419327,-1,2.1363503198419327,1,2.1363503198419327,1
2023-04-20,30.76000022888184,31.25,30.70999908447266,30.86000061035156,30.86000061035156,30255100.0,-0.9309759606102805,1.041842670329246,0.8152480710527049,2.0917706959758844,2.477564485865183,31.57399978637695,31.970000076293946,30.481000010172526,28.984499994913737,28.70060001373291,31.447224262001974,31.651769509045007,30.670027569593316,29.723964593377826,29.612749574334202,31.61936375244432,30.880833160838055,0.7385305916062634,1.0229063062030743,1.8146512061414666,-1.8146512061414666,-1.8146512061414666,-1.8146512061414666,1.8146512061414666,1.8146512061414666,-1.8146512061414666,-1.8146512061414666,1.8146512061414666,0.610000610351559,0.8130002975463873,31.25,29.69509981155395,29.860999870300287,30.026899929046625,0.0,0.9876133785119809,0.9935376362770308,0.3897406501683317,0.0,0.0,3.0,0.002740359,0.0024445656666666,0.9888067245483398,0.9805918935161134,-0.9309759606102805,1,0.9309759606102805,1,-0.9309759606102805,1,-0.9309759606102805,1
2023-04-21,30.84000015258789,30.84000015258789,30.22999954223633,30.29999923706055,30.29999923706055,28655800.0,-1.8146512061414666,1.1338703121094675,0.8698741019110303,2.0492750804140583,2.487495482536665,31.255999755859374,31.7189998626709,30.609666633605958,28.994499969482423,28.710200004577636,31.06481592035483,31.40599309595692,30.64615477394604,29.742850975137912,29.626358478546607,31.41638459623143,30.837808425743425,0.5785761704880059,0.9340402790600607,2.1122092599449465,-2.1122092599449465,-2.1122092599449465,-2.1122092599449465,2.1122092599449465,2.1122092599449465,-2.1122092599449465,-2.1122092599449465,2.1122092599449465,0.7600002288818395,0.8070003509521493,30.84000015258789,29.461399345397947,29.623999404907224,29.786599464416504,0.0,0.985403067284085,0.9891365582817373,0.42447893414839716,0.0,0.0,1.0,0.2396477460861206,0.2396477460861206,0.7509898543357849,0.7509898543357849,-1.8146512061414666,1,-1.8146512061414666,1,-1.8146512061414666,-1,-1.8146512061414666,-1
2023-04-24,30.1299991607666,30.3700008392334,29.61000061035156,29.65999984741211,29.65999984741211,38732500.0,-2.1122092599449465,0.601494262592163,0.9661182954468757,2.102010886949665,2.4976197449787247,30.75999984741211,31.43299980163574,30.69099998474121,28.987333297729492,28.719500007629396,30.596543896040593,31.088539778039678,30.58253187545998,29.74013454472067,29.627024644266715,31.146171557951536,30.75056334586703,0.39560821208450747,0.8263538656649501,2.629806779023178,-2.629806779023178,-2.629806779023178,-2.629806779023178,2.629806779023178,2.629806779023178,-2.629806779023178,-2.629806779023178,2.629806779023178,0.6999988555908203,0.8095003128051763,30.3700008392334,29.064599380493163,29.22599945068359,29.387399520874023,0.0,0.9785893819084805,0.9841743650389582,0.4596162186623396,0.0,0.0,2.0,0.009167923,0.0055296705,0.9828088879585266,0.7636138796806335,-2.1122092599449465,1,-2.1122092599449465,-1,2.1122092599449465,-1,2.1122092599449465,1
2023-04-25,29.44000053405762,29.56999969482422,28.8700008392334,28.8799991607666,28.8799991607666,38289900.0,-2.629806779023178,0.6278394112063955,1.0931812442110989,2.1833616198249377,2.3776322159146233,30.16999969482422,31.08599987030029,30.75533326466878,28.9993332862854,28.719300003051757,30.02436231761593,30.68698693853548,30.47269105515718,29.71193338459103,29.61223206043503,30.797529650692315,30.61200303585959,0.1855266148327246,0.698188415498505,-0.58864294056107,0.58864294056107,0.58864294056107,0.58864294056107,-0.58864294056107,-0.58864294056107,0.58864294056107,0.58864294056107,-0.58864294056107,0.9699993133544886,0.8230002403259282,29.56999969482422,28.58910015106201,28.751000213623044,28.912900276184082,1.0,0.9705333533005891,0.9784069833168453,0.5006872129128799,0.0,1.0,0.0,0.007144557,0.007144557,0.3319945037364959,0.3319945037364959,-2.629806779023178,1,2.629806779023178,-1,2.629806779023178,-1,-2.629806779023178,1
2023-04-26,29.20000076293945,29.80999946594238,28.84000015258789,29.04999923706055,29.04999923706055,41218800.0,0.58864294056107,1.2613729099396513,1.220888757916627,2.185947937317924,2.37611624043481,29.749999618530275,30.78899974822998,30.78999989827474,29.017666594187418,28.70909999847412,29.699574624097473,30.38935281099458,30.380904486247726,29.690230625655605,29.60109873719989,30.528678817825888,30.496299050763366,0.032379767062522546,0.5650266858113085,-2.788300841872825,-2.788300841872825,2.788300841872825,2.788300841872825,-2.788300841872825,-2.788300841872825,2.788300841872825,2.788300841872825,-2.788300841872825,1.44000053405761,0.7885003089904787,29.80999946594238,27.759399166107176,27.923999214172362,28.088599262237548,1.0,0.9662541771997827,0.9773019783873925,0.5585168507785285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58864294056107,-1,-0.58864294056107,-1,-0.58864294056107,-1,0.58864294056107,1
2023-04-27,28.75,29.95000076293945,28.51000022888184,29.86000061035156,29.86000061035156,60186200.0,2.788300841872825,2.2786654257035597,1.6725714471082027,1.4372805886661877,2.3980876523525168,29.549999618530272,30.561999702453612,30.838333257039388,29.044333267211915,28.709400005340576,29.753049952848837,30.29310695633221,30.34729778457701,29.69579685466203,29.60622550696527,30.425805247445222,30.44916583295508,-0.023360585509859533,0.44734923154707495,-4.018750271474599,-4.018750271474599,4.018750271474599,4.018750271474599,-4.018750271474599,-4.018750271474599,-4.018750271474599,4.018750271474599,-4.018750271474599,1.7600002288818395,0.8380002021789552,29.95000076293945,28.075298786163327,28.232998847961422,28.390698909759518,1.0,0.9668869807677508,0.9821722808339908,1.1637055842105037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.788300841872825,-1,-2.788300841872825,-1,-2.788300841872825,-1,2.788300841872825,-1
2023-04-28,31.97999954223633,32.56999969482422,30.80999946594238,31.05999946594238,31.05999946594238,80229700.0,4.018750271474599,2.9257642630659824,2.244426885288459,1.6707462192068612,2.424924236544367,29.70199966430664,30.47899971008301,30.867666562398274,29.077499930063883,28.72590000152588,30.188699790546686,30.43254195807951,30.393278538213487,29.74052480913024,29.63501311011333,30.523373588752477,30.49441276873192,0.028960820020557776,0.36367154924177153,2.4468777912091637,2.4468777912091637,-2.4468777912091637,-2.4468777912091637,2.4468777912091637,2.4468777912091637,-2.4468777912091637,-2.4468777912091637,2.4468777912091637,0.9599990844726491,0.8275000572204586,32.56999969482422,28.10640031814575,28.27400035858154,28.44160039901733,0.0,0.97450703588808,0.9919874531720447,1.3433679271493046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.018750271474599,-1,-4.018750271474599,1,-4.018750271474599,-1,-4.018750271474599,-1
2023-05-01,31.11000061035156,31.23999977111816,30.28000068664551,30.29999923706055,30.29999923706055,36918500.0,-2.4468777912091637,3.0041225617379177,2.3120302164211246,1.6792425790464767,2.3976314195498367,29.82999954223633,30.29499969482422,30.883999888102213,29.0793332417806,28.737199993133544,30.22579960605131,30.408443281530605,30.387260518784267,29.758868232996804,29.648181152231096,30.489008303876798,30.480011766385893,0.008996537490904899,0.2927365468915982,1.749170932811872,1.749170932811872,-1.749170932811872,-1.749170932811872,1.749170932811872,1.749170932811872,-1.749170932811872,-1.749170932811872,1.749170932811872,0.8299999237060511,0.8180000305175769,31.23999977111816,30.74949956893921,30.914999580383302,31.080499591827394,0.0,0.9846509273057582,0.993993652559313,1.3768291998252946,0.0,0.0,6.0,0.1541521102190017,0.0312487983242322,0.992677927017212,0.8726806740358074,2.4468777912091637,1,-2.4468777912091637,1,2.4468777912091637,1,2.4468777912091637,1
2023-05-02,30.29999923706055,30.57999992370605,29.75,29.77000045776367,29.77000045776367,33463400.0,-1.749170932811872,2.796012324303611,2.3402763446792036,1.6879357443545948,2.4080133726797843,30.00799980163574,30.08899974822998,30.9043332417806,29.07016658782959,28.748899993896483,30.0738665566221,30.292362768118434,30.347437289041004,29.759233223972764,29.650593415706986,30.378391712167087,30.42741833611758,-0.04902662395049262,0.22438391272318006,-2.95599310458562,-2.95599310458562,2.95599310458562,2.95599310458562,-2.95599310458562,-2.95599310458562,-2.95599310458562,2.95599310458562,-2.95599310458562,0.860000610351559,0.8110000610351549,30.57999992370605,29.44039970397949,29.603999710083006,29.767599716186524,1.0,0.9973079880596893,0.9927870858681815,1.3864724131273374,0.0,0.0,1.0,0.002523286,0.002523286,0.9923230409622192,0.9923230409622192,-1.749170932811872,1,-1.749170932811872,1,-1.749170932811872,1,-1.749170932811872,1
2023-05-03,30.63999938964844,31.11000061035156,30.25,30.64999961853027,30.64999961853027,45554500.0,2.95599310458562,2.979571809634854,2.5257725808886127,1.841579324167679,2.3319085390351506,30.327999877929688,30.03899974822998,30.97733325958252,29.102833239237466,28.772099990844726,30.265910910591494,30.357387650011493,30.366957439330637,29.788438679532025,29.67038363754507,30.42017754391527,30.443905838518518,-0.023728294603248656,0.17476147125789432,1.9249597387635542,-1.9249597387635542,1.9249597387635542,1.9249597387635542,-1.9249597387635542,-1.9249597387635542,-1.9249597387635542,1.9249597387635542,-1.9249597387635542,1.340000152587887,0.8454999923706039,31.11000061035156,28.79579978942871,28.95799980163574,29.120199813842774,1.0,1.0096208306575434,0.9969866728825738,1.3715252705881469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.95599310458562,-1,2.95599310458562,1,2.95599310458562,1,2.95599310458562,1
2023-05-04,30.44000053405762,31.71999931335449,30.3799991607666,31.23999977111816,31.23999977111816,46104000.0,1.9249597387635542,2.881651259537601,2.5862818668599465,1.9072902995694314,2.338949521621298,30.60399971008301,30.07699966430664,31.08099994659424,29.139333248138428,28.800099983215333,30.59060719743372,30.517862581121793,30.423282751058867,29.836030846469274,29.701465145140574,30.546304040408025,30.502875759451825,0.04342828095619922,0.1484948331975553,-0.8002560878093498,0.8002560878093498,-0.8002560878093498,-0.8002560878093498,0.8002560878093498,-0.8002560878093498,-0.8002560878093498,-0.8002560878093498,0.8002560878093498,0.6800003051757777,0.8524999618530259,31.71999931335449,29.24990062713623,29.41900062561035,29.588100624084472,0.0,1.0175216960354518,1.002383673368951,1.3559980184682934,0.0,0.0,1.0,0.00705754,0.00705754,0.884830654,0.884830654,-1.9249597387635542,1,1.9249597387635542,1,1.9249597387635542,1,1.9249597387635542,1
2023-05-05,31.3799991607666,31.40999984741211,30.72999954223633,30.98999977111816,30.98999977111816,35010800.0,-0.8002560878093498,2.352016352955183,2.5195912917093715,1.910986649310094,2.310560473465013,30.589999771118165,30.145999717712403,31.146333249409995,29.185166581471762,28.827599983215332,30.723738055328532,30.603705706575678,30.45984513944979,29.873865893179072,29.726980682288644,30.614564922055738,30.53895901957526,0.07560590248047916,0.1339170470541401,-0.709904210969132,0.709904210969132,-0.709904210969132,-0.709904210969132,0.709904210969132,-0.709904210969132,-0.709904210969132,-0.709904210969132,0.709904210969132,0.4500007629394496,0.847000122070311,31.40999984741211,29.844499397277833,30.014999389648438,30.185499382019042,0.0,1.014728324074948,1.0039221507978056,1.318476658441856,1.0,1.0,3.0,0.9784975051879884,0.2034149780610341,0.8745828866958618,0.4999576062563095,-0.8002560878093498,-1,-0.8002560878093498,-1,-0.8002560878093498,-1,-0.8002560878093498,-1
