Date_LRCX_L01d,Open_LRCX_L01d,High_LRCX_L01d,Low_LRCX_L01d,Close_LRCX_L01d,Adj Close_LRCX_L01d,Volume_LRCX_L01d,Daily_Return_LRCX_L01d,Vol5_LRCX_L01d,Vol10_LRCX_L01d,Vol20_LRCX_L01d,Vol60_LRCX_L01d,SMA5_LRCX_L01d,SMA10_LRCX_L01d,SMA30_LRCX_L01d,SMA60_LRCX_L01d,SMA100_LRCX_L01d,EMA5_LRCX_L01d,EMA10_LRCX_L01d,EMA30_LRCX_L01d,EMA60_LRCX_L01d,EMA100_LRCX_L01d,Short12_LRCX_L01d,Long26_LRCX_L01d,MACD_LRCX_L01d,SIGNAL9_LRCX_L01d,Ret5/10_LRCX_L01d,Ret10/30_LRCX_L01d,Ret30/60_LRCX_L01d,Ret30/100_LRCX_L01d,Emaret5/10_LRCX_L01d,Emaret10/30_LRCX_L01d,Emaret30/60_LRCX_L01d,Emaret30/100_LRCX_L01d,RetMACD_LRCX_L01d,DayRange_LRCX_L01d,average20r_LRCX_L01d,PRVHI_LRCX_L01d,HitLevel_LRCX_L01d,hitlevel_2_LRCX_L01d,hitlevel_1.8_LRCX_L01d,positive_return_dummy,sma_ratio_L01d,ema_ratio_L01d,volatility_ratio_L01d,negative_L01d,neutral_L01d,positive_L01d,negative_max_L01d,negative_avg_L01d,positive_max_L01d,positive_avg_L01d,ret_logit,logit,ret_tree,tree,ret_xgb,xgb,ret_rf,rf
2023-07-27,675.0,715.9400024414062,673.3200073242188,701.9500122070312,701.9500122070312,3390000.0,9.275031141355624,3.9172107725458445,3.658367198196593,2.8310905510042295,2.4266816994901785,651.4440063476562,646.7420043945312,633.3700012207031,605.243999226888,564.5963998413085,660.8137703945763,649.6326308529998,631.9354551921427,606.3065537061925,577.9221354873318,647.2041576372764,635.2730760944144,11.931081542861989,8.991908396548936,2.750907788701414,2.750907788701414,2.750907788701414,2.750907788701414,-2.750907788701414,2.750907788701414,2.750907788701414,2.750907788701414,2.750907788701414,18.47003173828125,16.29351806640625,715.9400024414062,613.216987915039,616.4099914550782,619.6029949951172,1.0,1.0072702900401944,1.0172114807824464,1.2922112988929007,0.0,1.0,0.0,0.006431283,0.006431283,0.3256250023841858,0.3256250023841858,9.275031141355624,-1,-9.275031141355624,1,-9.275031141355624,1,-9.275031141355624,1
2023-07-28,710.2899780273438,724.0700073242188,705.5999755859375,721.260009765625,721.260009765625,1850000.0,2.750907788701414,3.840509775354968,3.678629957586215,2.8689067925829814,2.440731697560931,670.9700073242187,655.0120056152343,636.4110005696615,608.5669993082682,566.9567999267579,680.9625168515926,662.6557906552953,637.6983296807546,610.0755194786329,580.7605092354169,658.5973656570222,641.6424785885781,16.954887068444123,10.584504130927975,-0.3840528372216455,-0.3840528372216455,-0.3840528372216455,-0.3840528372216455,0.3840528372216455,-0.3840528372216455,-0.3840528372216455,-0.3840528372216455,-0.3840528372216455,12.81005859375,16.436019897460938,724.0700073242188,680.0942626953125,683.3529663085938,686.611669921875,0.0,1.0243629148354243,1.0276262977770012,1.2822410149735852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.750907788701414,1,2.750907788701414,1,2.750907788701414,1,2.750907788701414,1
2023-07-31,721.4600219726562,726.530029296875,713.719970703125,718.489990234375,718.489990234375,1133200.0,-0.3840528372216455,4.140793921282163,3.6335393713598876,2.8775917696503894,2.430276480141495,686.8619995117188,660.85400390625,639.6606669108073,611.9659993489583,569.3450997924805,693.4716746458535,672.807463306037,642.9106948777625,613.6300922902966,583.4878256908418,667.8116155919996,647.3348868586371,20.476728733362506,12.562949051414883,-0.36047347291054677,-0.36047347291054677,-0.36047347291054677,-0.36047347291054677,0.36047347291054677,-0.36047347291054677,-0.36047347291054677,-0.36047347291054677,-0.36047347291054677,11.04998779296875,16.380517578125,726.530029296875,687.9107635498046,691.1979675292969,694.4851715087891,0.0,1.0393551305609678,1.0307134098041613,1.262701474782624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3840528372216455,-1,-0.3840528372216455,1,-0.3840528372216455,1,-0.3840528372216455,1
2023-08-01,708.8499755859375,719.489990234375,708.4400024414062,715.9000244140625,715.9000244140625,952800.0,-0.36047347291054677,4.331588554261335,3.6220406512353445,2.8806605671208527,2.4296644844590363,699.9940063476563,666.8500061035156,643.1023335774739,615.3603332519531,571.5701000976562,700.9477912352565,680.642474416587,647.6196838801045,616.9832048189446,586.1098494279353,675.2098323338555,652.4137859368168,22.796046397038708,14.60956852053965,-4.193325675022887,-4.193325675022887,-4.193325675022887,-4.193325675022887,4.193325675022887,-4.193325675022887,-4.193325675022887,-4.193325675022887,-4.193325675022887,23.6500244140625,16.684017944335938,719.489990234375,690.492890625,693.768994140625,697.04509765625,0.0,1.0497023317699359,1.029832573754781,1.2573646102482259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36047347291054677,-1,-0.36047347291054677,1,-0.36047347291054677,1,-0.36047347291054677,1
2023-08-02,705.2000122070312,707.25,683.5999755859375,685.8800048828125,685.8800048828125,1497300.0,-4.193325675022887,5.035050122655512,3.8419730336562785,2.9392472553768343,2.4775748004660016,708.6960083007813,671.4270080566406,645.4889994303386,617.962333170573,573.5261001586914,695.9251957844419,681.5947526831734,650.0880916867309,619.2421162964484,588.085496070606,676.8513973413873,654.8927651180016,21.95863222338562,16.079381261108846,1.0905669235871671,1.0905669235871671,1.0905669235871671,1.0905669235871671,-1.0905669235871671,1.0905669235871671,1.0905669235871671,1.0905669235871671,1.0905669235871671,17.489990234375,17.0045166015625,707.25,682.785150756836,686.1219543457031,689.4587579345703,1.0,1.0555071508845184,1.0210248729833309,1.3071282202026613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.193325675022887,-1,-4.193325675022887,1,-4.193325675022887,1,-4.193325675022887,1
2023-08-03,681.2100219726562,695.010009765625,677.52001953125,693.3599853515625,693.3599853515625,1215500.0,1.0905669235871671,2.567968028185183,3.4860319179973276,2.9147893693414266,2.4752039940386563,706.9780029296875,679.2110046386719,648.407666015625,620.7384999593099,575.6714999389649,695.0701256401488,683.7338858956077,652.8798267618813,621.6722103638292,590.1701394227042,679.3911801121834,657.7421888390062,21.648991273177216,17.193303263522523,-0.4182478712606767,-0.4182478712606767,-0.4182478712606767,-0.4182478712606767,0.4182478712606767,-0.4182478712606767,-0.4182478712606767,-0.4182478712606767,-0.4182478712606767,16.0999755859375,17.188516235351564,695.010009765625,669.8400634765625,673.240966796875,676.6418701171875,0.0,1.0408812550170432,1.0165799004238205,1.195980730087872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0905669235871671,-1,1.0905669235871671,1,1.0905669235871671,1,1.0905669235871671,-1
2023-08-04,693.3599853515625,702.6300048828125,686.530029296875,690.4600219726562,690.4600219726562,665200.0,-0.4182478712606767,1.9740017211038439,3.525340864600816,2.9131543362104724,2.454979159623239,700.8180053710937,685.8940063476563,650.7606669108073,623.65,577.8061001586914,693.5334244176513,684.9568197277983,655.3043554851571,623.9275484493645,592.1560776910201,681.0940788599485,660.1657320340914,20.928346825857034,17.940311975989424,2.1579762628887327,2.1579762628887327,2.1579762628887327,2.1579762628887327,-2.1579762628887327,2.1579762628887327,2.1579762628887327,2.1579762628887327,2.1579762628887327,15.33001708984375,17.321014404296875,702.6300048828125,657.1952740478515,660.6329772949218,664.0706805419921,1.0,1.021758462510712,1.012521380097013,1.2101455871324334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4182478712606767,1,-0.4182478712606767,-1,-0.4182478712606767,-1,0.4182478712606767,1
2023-08-07,698.0,706.5599975585938,691.22998046875,705.3599853515625,705.3599853515625,684800.0,2.1579762628887327,2.4052524450162793,3.513030835515579,2.92624197238031,2.4540794557029897,698.1920043945313,692.527001953125,653.9806660970052,626.6176666259765,579.9198999023438,697.4756113956217,688.6664862048464,658.5337509604091,626.597464413371,594.3977392288525,684.8272952432737,663.5134545020522,21.313840741221497,18.61501772903584,-1.3269799174810486,-1.3269799174810486,-1.3269799174810486,-1.3269799174810486,1.3269799174810486,-1.3269799174810486,-1.3269799174810486,-1.3269799174810486,-1.3269799174810486,11.75,16.81451416015625,706.5599975585938,664.5237731933594,667.9879760742188,671.4521789550781,0.0,1.0081801899787723,1.0127915694566776,1.2005264324255296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1579762628887327,1,-2.1579762628887327,1,-2.1579762628887327,-1,2.1579762628887327,-1
2023-08-08,695.6099853515625,698.4299926757812,686.6799926757812,696.0,696.0,809400.0,-1.3269799174810486,2.4453401556658774,3.5785466033031548,2.926846753297381,2.46486816493016,694.2119995117188,697.1030029296875,656.502998860677,629.4263336181641,582.009400024414,696.9837409304146,689.9998523494197,660.9509283178021,628.8729573834244,596.4096651847168,686.5461728981547,665.919865279678,20.626307618476744,19.017275706924025,1.4295994550332256,-1.4295994550332256,-1.4295994550332256,-1.4295994550332256,1.4295994550332256,-1.4295994550332256,-1.4295994550332256,-1.4295994550332256,-1.4295994550332256,14.260009765625,16.967013549804687,698.4299926757812,669.56806640625,672.9309692382812,676.2938720703125,0.0,0.9958528317826508,1.0101215798194956,1.2226627852215253,0.0,0.0,1.0,0.001641785,0.001641785,0.9977725148200988,0.9977725148200988,-1.3269799174810486,1,-1.3269799174810486,-1,1.3269799174810486,-1,1.3269799174810486,1
2023-08-09,696.77001953125,699.9500122070312,685.6900024414062,686.0499877929688,686.0499877929688,813900.0,-1.4295994550332256,1.5672166843655775,3.592457090894759,2.9627482009816983,2.476341491266499,694.24599609375,701.4710021972656,657.732666015625,632.0755004882812,583.7179998779297,693.339156551266,689.2816951573376,662.5702224774902,630.7476141181635,598.1847210779495,686.4698367281261,667.4109854658477,19.05885126227838,19.025590817994896,-0.049562985426560624,0.049562985426560624,0.049562985426560624,0.049562985426560624,-0.049562985426560624,0.049562985426560624,0.049562985426560624,0.049562985426560624,0.049562985426560624,20.0999755859375,17.218011474609376,699.9500122070312,661.102562866211,664.4959655761719,667.8893682861328,1.0,0.9897002070208402,1.0058865068119969,1.21254215586205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4295994550332256,1,1.4295994550332256,-1,1.4295994550332256,-1,-1.4295994550332256,-1
2023-08-10,691.6300048828125,700.97998046875,680.8800048828125,686.3900146484375,686.3900146484375,937600.0,0.049562985426560624,1.4535947176334034,1.9672670267772854,2.926503495210211,2.41138447523975,692.852001953125,699.9150024414063,659.2063334147135,634.3108337402343,585.4983001708985,691.0227759169899,688.7559350648103,664.1069832627127,632.571955119156,599.9313605545929,686.4575564081739,668.8168394793729,17.640716928800998,18.74861604015612,5.014648117068271,-5.014648117068271,-5.014648117068271,-5.014648117068271,5.014648117068271,-5.014648117068271,-5.014648117068271,-5.014648117068271,5.014648117068271,21.0899658203125,17.70950927734375,700.97998046875,662.0703869628907,665.5139892578125,668.9575915527344,0.0,0.9899087739744904,1.003291210625962,0.6722243899578793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049562985426560624,1,-0.049562985426560624,-1,-0.049562985426560624,1,-0.049562985426560624,1
2023-08-11,670.8099975585938,672.489990234375,651.4000244140625,651.969970703125,651.969970703125,1603000.0,-5.014648117068271,2.6181920628917856,2.1902554547339066,3.1678600179127177,2.507562077328433,685.1539916992188,692.9859985351562,659.5933329264323,635.8615000406901,586.8851000976563,678.005174179035,682.0675779081403,663.3239501943523,633.2079556301057,600.9618280822866,681.1517739920125,667.568923273725,13.582850718287546,17.715462975782405,-2.336003525972404,2.336003525972404,2.336003525972404,2.336003525972404,-2.336003525972404,-2.336003525972404,2.336003525972404,2.336003525972404,-2.336003525972404,20.260009765625,17.281008911132812,672.489990234375,662.0190600585937,665.5609619140625,669.1028637695313,1.0,0.9886981744905483,0.9940439864601621,0.6913990650941236,0.0,1.0,0.0,0.008399469,0.008399469,0.0402855612337589,0.0402855612337589,-5.014648117068271,-1,5.014648117068271,-1,-5.014648117068271,-1,-5.014648117068271,-1
2023-08-14,651.0,667.260009765625,647.0,667.2000122070312,667.2000122070312,1301700.0,2.336003525972404,2.6743983514867273,2.428802241676958,3.1207241170540545,2.501799027837001,677.5219970703125,687.8570007324219,660.4046671549479,637.4130004882812,588.4835003662109,674.4034535217004,679.3643841443022,663.5740187112993,634.3224492883656,602.2734752926775,679.0053491020154,667.5415965280439,11.463752573971533,16.46512089542023,1.7041359276323584,-1.7041359276323584,-1.7041359276323584,-1.7041359276323584,1.7041359276323584,1.7041359276323584,-1.7041359276323584,-1.7041359276323584,1.7041359276323584,11.15997314453125,17.223507690429688,667.260009765625,634.4717706298828,637.9279724121094,641.384174194336,0.0,0.984975069453237,0.99269768810614,0.778281626499472,0.0,0.0,1.0,0.002843364,0.002843364,0.99333787,0.99333787,-2.336003525972404,1,-2.336003525972404,-1,-2.336003525972404,-1,-2.336003525972404,-1
2023-08-15,661.2000122070312,665.8099975585938,654.6500244140625,655.8300170898438,655.8300170898438,671300.0,-1.7041359276323584,2.6884887313492087,2.4443780088275995,3.143144258386242,2.4582966507049107,669.4880004882813,681.85,660.5660013834636,638.3645009358723,589.9788006591797,668.2123080444148,675.0854083162188,663.0744057034635,635.0276154457912,603.3340008728194,675.4399134078351,666.6740721252143,8.76584128262084,14.925264972860353,1.454651176966956,-1.454651176966956,-1.454651176966956,-1.454651176966956,1.454651176966956,1.454651176966956,-1.454651176966956,-1.454651176966956,1.454651176966956,14.17999267578125,17.13300476074219,665.8099975585938,629.3682928466797,632.8129943847656,636.2576959228516,0.0,0.981869913453518,0.9898189174478726,0.7776855937508245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7041359276323584,1,1.7041359276323584,-1,1.7041359276323584,-1,1.7041359276323584,-1
2023-08-16,659.4600219726562,659.8699951171875,645.6900024414062,646.2899780273438,646.2899780273438,808800.0,-1.454651176966956,2.6891573571443197,2.165044499756731,3.110820809578442,2.4559569395817595,661.5359985351563,677.8909973144531,661.1563334147136,639.3216674804687,591.2058001708984,660.9048647053912,669.8498755364234,661.9915394017785,635.3968732353503,604.1846142818199,670.9553079646826,665.1641392290757,5.791168735606902,13.098445725409663,-0.35123854746730393,0.35123854746730393,0.35123854746730393,0.35123854746730393,-0.35123854746730393,-0.35123854746730393,0.35123854746730393,0.35123854746730393,-0.35123854746730393,12.46002197265625,16.89300537109375,659.8699951171875,628.1173870849609,631.5439880371093,634.9705889892579,1.0,0.9758737041145419,0.9866462454383993,0.6959721026329779,1.0,0.0,0.0,0.9934499859809875,0.9934499859809875,0.005103212,0.005103212,-1.454651176966956,-1,1.454651176966956,-1,1.454651176966956,1,1.454651176966956,-1
2023-08-17,650.1799926757812,659.2100219726562,646.75,648.5599975585938,648.5599975585938,891400.0,0.35123854746730393,2.7261420993395156,2.1140063012011496,2.9697846115144855,2.4536293214113614,653.9699951171875,673.4109985351563,662.075,640.379833984375,592.6708001708985,656.7899089897921,665.9789886313634,661.1249883151214,635.828451082014,605.0633347427462,667.509875594515,663.9342028090399,3.575672785475149,11.193891137422762,-0.6753430521926064,0.6753430521926064,0.6753430521926064,0.6753430521926064,-0.6753430521926064,-0.6753430521926064,0.6753430521926064,0.6753430521926064,-0.6753430521926064,17.260009765625,17.308004760742186,659.2100219726562,622.7053833007812,626.083984375,629.4625854492188,1.0,0.9711305525744931,0.986202147817823,0.7118382568906507,0.0,1.0,0.0,0.005812065,0.005812065,0.1531843692064285,0.1531843692064285,-0.35123854746730393,-1,-0.35123854746730393,-1,0.35123854746730393,1,-0.35123854746730393,1
2023-08-18,642.6300048828125,656.72998046875,639.469970703125,652.9400024414062,652.9400024414062,933600.0,0.6753430521926064,1.661938010919077,2.154949349749987,2.961695612731701,2.4375305547917114,654.1640014648438,669.6589965820312,663.2440002441406,641.7040008544922,594.2425003051758,655.5066068069968,663.608263869553,660.5969247103656,636.3894855528138,606.0113875684623,665.2683566478829,663.1198175966226,2.148539051260286,9.384820720190268,-2.4963990155330515,2.4963990155330515,2.4963990155330515,2.4963990155330515,-2.4963990155330515,-2.4963990155330515,2.4963990155330515,2.4963990155330515,-2.4963990155330515,18.5400390625,17.55550537109375,656.72998046875,621.1324114990234,624.5940124511719,628.0556134033203,1.0,0.9768613649689251,0.9877915066709466,0.7276066252339765,0.0,1.0,2.0,0.032642979,0.016852021,0.9784160852432252,0.6449826757113138,-0.6753430521926064,1,-0.6753430521926064,1,0.6753430521926064,1,0.6753430521926064,1
