Date_ROP_L01d,Open_ROP_L01d,High_ROP_L01d,Low_ROP_L01d,Close_ROP_L01d,Adj Close_ROP_L01d,Volume_ROP_L01d,Daily_Return_ROP_L01d,Vol5_ROP_L01d,Vol10_ROP_L01d,Vol20_ROP_L01d,Vol60_ROP_L01d,SMA5_ROP_L01d,SMA10_ROP_L01d,SMA30_ROP_L01d,SMA60_ROP_L01d,SMA100_ROP_L01d,EMA5_ROP_L01d,EMA10_ROP_L01d,EMA30_ROP_L01d,EMA60_ROP_L01d,EMA100_ROP_L01d,Short12_ROP_L01d,Long26_ROP_L01d,MACD_ROP_L01d,SIGNAL9_ROP_L01d,Ret5/10_ROP_L01d,Ret10/30_ROP_L01d,Ret30/60_ROP_L01d,Ret30/100_ROP_L01d,Emaret5/10_ROP_L01d,Emaret10/30_ROP_L01d,Emaret30/60_ROP_L01d,Emaret30/100_ROP_L01d,RetMACD_ROP_L01d,DayRange_ROP_L01d,average20r_ROP_L01d,PRVHI_ROP_L01d,HitLevel_ROP_L01d,hitlevel_2_ROP_L01d,hitlevel_1.8_ROP_L01d,positive_return_dummy,sma_ratio_L01d,ema_ratio_L01d,volatility_ratio_L01d,negative_L01d,neutral_L01d,positive_L01d,negative_max_L01d,negative_avg_L01d,positive_max_L01d,positive_avg_L01d,ret_logit,logit,ret_tree,tree,ret_xgb,xgb,ret_rf,rf
2023-03-30,436.0,438.989990234375,435.1700134277344,437.0,437.0,436900.0,0.6124242953762081,0.33490850354557944,0.7732306012455484,0.9723275857270048,1.1489551590865454,432.63800048828125,430.50999755859374,427.1613321940104,432.01099904378253,431.61919921875,433.24628224423236,431.0286355093138,429.01022013964825,428.5606366995563,426.5593799347934,430.46916073007117,429.0401782707336,1.4289824593375897,0.13403346142588168,0.8443941513515315,0.8443941513515315,-0.8443941513515315,0.8443941513515315,-0.8443941513515315,0.8443941513515315,0.8443941513515315,0.8443941513515315,0.8443941513515315,4.339996337890568,7.519001770019528,438.989990234375,418.8654818725586,420.3849822998047,421.9044827270508,1.0,1.0049429814446942,1.0051450102202564,0.7952367212408229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6124242953762081,1,0.6124242953762081,-1,0.6124242953762081,1,0.6124242953762081,-1
2023-03-31,439.010009765625,440.6900024414062,436.3500061035156,440.6900024414062,440.6900024414062,957000.0,0.8443941513515315,0.2548469592656143,0.7347263998173282,0.9735977393248703,1.1273358703224323,434.8580017089844,432.01299743652345,427.7519989013672,431.9768325805664,432.0657992553711,435.72752230995695,432.7852476787851,429.7637544816972,428.9583208222399,426.839194241855,432.0415979164304,429.9031282093019,2.138469707128536,0.5349207105664125,0.02269307289969179,0.02269307289969179,-0.02269307289969179,-0.02269307289969179,-0.02269307289969179,0.02269307289969179,0.02269307289969179,0.02269307289969179,0.02269307289969179,4.790008544921818,7.507002258300773,440.6900024414062,422.44818634033203,423.9519866943359,425.45578704833986,1.0,1.00658545990362,1.0067984633185918,0.7546508893157614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8443941513515315,1,-0.8443941513515315,1,0.8443941513515315,1,-0.8443941513515315,-1
2023-04-03,440.239990234375,443.5899963378906,438.7999877929688,440.7900085449219,440.7900085449219,609700.0,0.02269307289969179,0.3036591043588863,0.6093176429833181,0.9694768938721984,1.1090832509207171,436.96400146484376,432.8739990234375,428.1889994303385,432.0579991658529,432.3474993896484,437.415017721612,434.2406587453554,430.4751257115827,429.34624500986877,427.1154479904306,433.38750724389064,430.70956378971823,2.677943454172407,0.9635252592876116,-0.8575509213048886,-0.8575509213048886,0.8575509213048886,0.8575509213048886,0.8575509213048886,-0.8575509213048886,-0.8575509213048886,-0.8575509213048886,-0.8575509213048886,7.75,7.365000915527338,443.5899963378906,424.1745974731445,425.6759979248046,427.1773983764648,0.0,1.0094484825853096,1.0073101376214475,0.6285014597404542,1.0,0.0,1.0,0.9372736811637878,0.504224125081894,0.5916792154312134,0.3250492272156067,0.02269307289969179,-1,0.02269307289969179,1,0.02269307289969179,1,-0.02269307289969179,1
2023-04-04,441.9500122070312,444.5799865722656,436.8299865722656,437.010009765625,437.010009765625,590900.0,-0.8575509213048886,0.6794428103637361,0.6729040836287056,0.9142546294752759,1.0905002886349275,437.96600341796875,433.5309997558594,428.6490000406901,431.94699910481773,432.55329956054686,437.28001506961635,434.7441771126771,430.89673113442416,429.59751598546734,427.3113799067711,433.94481532415745,431.17626349163726,2.7685518325201883,1.324530573934127,0.08923917579565954,0.08923917579565954,-0.08923917579565954,-0.08923917579565954,-0.08923917579565954,0.08923917579565954,0.08923917579565954,0.08923917579565954,0.08923917579565954,3.759979248046875,7.3624999999999945,444.5799865722656,427.3869943237305,428.85999450683596,430.3329946899414,1.0,1.0102299574069833,1.0058329428901862,0.7360138652127032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8575509213048886,1,-0.8575509213048886,-1,-0.8575509213048886,1,-0.8575509213048886,-1
2023-04-05,437.4100036621094,437.739990234375,433.9800109863281,437.3999938964844,437.3999938964844,450100.0,0.08923917579565954,0.6577948322516194,0.641963752377387,0.9101605853567041,1.0905771262656538,438.5780029296875,434.4130004882812,429.1756663004557,431.8468322753906,432.7652993774414,437.32000801190577,435.2270528915511,431.31629647391196,429.8533349333695,427.51115444122087,434.4763812583616,431.63728055866295,2.8391006996986334,1.6274445990870283,-0.3886560844021186,-0.3886560844021186,0.3886560844021186,0.3886560844021186,0.3886560844021186,-0.3886560844021186,-0.3886560844021186,-0.3886560844021186,-0.3886560844021186,5.049987792968807,7.080998229980466,437.739990234375,428.38248657226563,429.85498657226566,431.3274865722656,0.0,1.009587656070893,1.0048088810345073,0.7053302051371438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08923917579565954,1,-0.08923917579565954,1,0.08923917579565954,1,-0.08923917579565954,1
2023-04-06,438.2999877929688,438.2999877929688,433.25,435.7000122070312,435.7000122070312,363500.0,-0.3886560844021186,0.6306982381371193,0.5757866460948982,0.9097856131612723,1.0916237353740632,438.31800537109376,435.4780029296875,429.33099975585935,431.7174992879232,432.7379995727539,436.78000941028097,435.3130454943656,431.5991168437906,430.0450292702109,427.6733100405438,434.6646321735415,431.93822364372727,2.7264085298142504,1.8472373852324728,0.12393344324425357,0.12393344324425357,-0.12393344324425357,-0.12393344324425357,-0.12393344324425357,0.12393344324425357,0.12393344324425357,0.12393344324425357,0.12393344324425357,5.25,6.959997558593747,438.2999877929688,422.16179412841797,423.57799377441404,424.99419342041017,1.0,1.0065215749642924,1.0033699057060177,0.6328816786783282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3886560844021186,1,-0.3886560844021186,-1,-0.3886560844021186,1,-0.3886560844021186,-1
2023-04-10,433.8599853515625,436.3500061035156,431.1000061035156,436.239990234375,436.239990234375,359100.0,0.12393344324425357,0.4201569126294657,0.49886883487095524,0.8931593559318873,1.0606671520349467,437.4280029296875,436.14300231933595,429.59099934895835,431.45299936930337,432.716799621582,436.60000301831235,435.48158090164003,431.89852803028,430.2481427444457,427.8429472721048,434.9069949521313,432.2568730208123,2.6501219313190063,2.00781429444978,0.5662023830910339,0.5662023830910339,-0.5662023830910339,-0.5662023830910339,-0.5662023830910339,0.5662023830910339,0.5662023830910339,0.5662023830910339,0.5662023830910339,3.730010986328125,6.730497741699213,436.3500061035156,422.9879931640626,424.3799926757813,425.7719921875001,1.0,1.0029462827639517,1.0025682420697488,0.558544039826415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12393344324425357,1,-0.12393344324425357,1,0.12393344324425357,1,-0.12393344324425357,-1
2023-04-11,436.5,439.510009765625,435.7799987792969,438.7099914550781,438.7099914550781,410900.0,0.5662023830910339,0.5446946342057432,0.5155590370995982,0.8969939050827669,1.0635015529077096,437.0119995117187,436.9880004882813,429.9149993896484,431.2443323771159,432.7779995727539,437.3033324972343,436.06856463862874,432.3379772834928,430.5255804070894,428.0581362658271,435.49207133720006,432.73488179372083,2.757189543479228,2.1576893442556697,0.8593420721387952,0.8593420721387952,-0.8593420721387952,-0.8593420721387952,-0.8593420721387952,0.8593420721387952,0.8593420721387952,0.8593420721387952,0.8593420721387952,5.320007324218807,6.655497741699216,439.510009765625,421.5429110717774,422.8890106201172,424.235110168457,1.0,1.0000549191817867,1.00283159108162,0.5747631440728985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5662023830910339,1,0.5662023830910339,1,0.5662023830910339,1,-0.5662023830910339,1
2023-04-12,440.25,445.5700073242188,440.25,442.4800109863281,442.4800109863281,659800.0,0.8593420721387952,0.47981770514484234,0.5545986881856908,0.8536050270437712,1.0698340117428413,438.1059997558594,438.03600158691404,430.32433268229164,431.10266571044923,432.8432995605469,439.0288919935989,437.2342821563923,432.9923020385145,430.917528950671,428.3437179434608,436.5671389755274,433.4567432153954,3.1103957601320076,2.3482306274309375,0.006779691410241334,0.006779691410241334,-0.006779691410241334,-0.006779691410241334,-0.006779691410241334,0.006779691410241334,0.006779691410241334,0.006779691410241334,0.006779691410241334,7.369995117187386,6.5389968872070225,445.5700073242188,424.8679147338867,426.1990142822266,427.5301138305664,1.0,1.0001598000362795,1.004104458205692,0.6497134747511885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8593420721387952,1,0.8593420721387952,1,0.8593420721387952,1,0.8593420721387952,1
2023-04-13,442.739990234375,444.4400024414062,437.0700073242188,442.510009765625,442.510009765625,729500.0,0.006779691410241334,0.4880712793633946,0.5481748215005697,0.7382556071378887,1.0564154204890934,439.1280029296875,438.8530029296875,431.0346659342448,431.06016591389977,432.95439971923827,440.18926458427427,438.1935053580709,433.6063476983281,431.29761028886617,428.6242385736026,437.4814267893886,434.12735555244944,3.3540712369391485,2.54939874933258,-0.5875587096646053,-0.5875587096646053,0.5875587096646053,0.5875587096646053,0.5875587096646053,-0.5875587096646053,-0.5875587096646053,-0.5875587096646053,-0.5875587096646053,7.109985351562386,6.230996704101548,444.4400024414062,431.18421417236334,432.49201354980477,433.7998129272462,0.0,1.0006266335154692,1.0045545157602747,0.7425271358598481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006779691410241334,1,0.006779691410241334,-1,0.006779691410241334,1,0.006779691410241334,1
2023-04-14,441.9599914550781,445.1799926757812,438.0700073242188,439.9100036621094,439.9100036621094,456700.0,-0.5875587096646053,0.5549795337061331,0.5755704835605888,0.6669384616722587,1.0376540456948642,439.9700012207031,439.1440032958984,431.47666625976564,431.095166015625,433.0572998046875,440.09617761021934,438.50559595880515,434.01303517986236,431.57998384208724,428.8477190704047,437.8550540005764,434.5556998568687,3.29935414370766,2.6993898282075963,0.6842330796225674,0.6842330796225674,0.6842330796225674,-0.6842330796225674,-0.6842330796225674,0.6842330796225674,0.6842330796225674,0.6842330796225674,0.6842330796225674,4.199981689453068,6.063494873046858,445.1799926757812,430.7318096923828,431.9780090332031,433.2242083740234,1.0,1.0018809272553089,1.0036272778866968,0.8630038851222092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5875587096646053,1,0.5875587096646053,1,-0.5875587096646053,1,-0.5875587096646053,1
2023-04-17,440.1900024414062,443.2699890136719,439.0700073242188,442.9200134277344,442.9200134277344,410400.0,0.6842330796225674,0.5926492958702694,0.5533619223449251,0.6512662913559387,1.026961470253766,441.306005859375,439.36700439453125,431.90366719563804,431.27416636149087,433.1563998413086,441.0374562160577,439.30821731679225,434.58767893778963,431.951788090797,429.12637836460925,438.63427852783144,435.1752786398958,3.458999887935647,2.8513118401532065,-0.2709320352775255,-0.2709320352775255,-0.2709320352775255,0.2709320352775255,0.2709320352775255,-0.2709320352775255,-0.2709320352775255,-0.2709320352775255,-0.2709320352775255,5.260009765625,5.797996520996074,443.2699890136719,431.8403039550781,433.05300292968747,434.26570190429686,0.0,1.0044131704143686,1.0039362771537197,0.8496707563243042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6842330796225674,1,0.6842330796225674,-1,0.6842330796225674,1,0.6842330796225674,-1
2023-04-18,443.989990234375,445.6300048828125,440.3699951171875,441.7200012207031,441.7200012207031,327900.0,-0.2709320352775255,0.6183817363432924,0.5627917052156477,0.5780185911359949,0.9887746840171054,441.9080078125,439.4600036621094,432.3296671549479,431.27633310953775,433.2285998535156,441.2649712176062,439.74672348113967,435.04782876249374,432.2720573737447,429.37575703502694,439.10900509596553,435.6600729051408,3.448932190824735,2.970835910287512,0.30335876441808657,0.30335876441808657,0.30335876441808657,-0.30335876441808657,-0.30335876441808657,0.30335876441808657,0.30335876441808657,0.30335876441808657,0.30335876441808657,4.559997558593693,5.352496337890602,445.6300048828125,430.5143966674805,431.67399597167974,432.83359527587896,1.0,1.0055704822509237,1.0034525504236798,0.9736567540320435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2709320352775255,1,0.2709320352775255,-1,-0.2709320352775255,1,0.2709320352775255,1
2023-04-19,441.6900024414062,444.4299926757812,439.8699951171875,443.0599975585938,443.0599975585938,374100.0,0.30335876441808657,0.4937570502309739,0.4737819436263616,0.5664550004756449,0.9886540116973391,442.0240051269531,440.06500244140625,433.0256673177083,431.27683308919273,433.3317999267578,441.8633133312687,440.3491369497677,435.5647428783712,432.625760330625,429.64673209489956,439.716850090216,436.2082154720632,3.508634618152769,3.0783956518605633,0.029342500683599497,0.029342500683599497,0.029342500683599497,-0.029342500683599497,-0.029342500683599497,0.029342500683599497,0.029342500683599497,0.029342500683599497,0.029342500683599497,5.17999267578125,5.222496032714824,444.4299926757812,433.8545129394532,434.9250122070313,435.99551147460943,1.0,1.0044516211802317,1.0034385814674,0.8363982014962055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30335876441808657,1,-0.30335876441808657,-1,0.30335876441808657,1,0.30335876441808657,1
2023-04-20,443.6099853515625,446.0899963378906,440.9100036621094,443.1900024414062,443.1900024414062,484100.0,0.029342500683599497,0.4936271264135999,0.4748526347483178,0.5508456712346165,0.9843096730618656,442.1600036621094,440.6440032958984,433.64866739908854,431.2269999186198,433.4275,442.30554303464794,440.8656579482474,436.0566951082444,432.9721289244211,429.9149156661175,440.2511812211683,436.72538487719976,3.5257963439685227,3.1678757902821557,0.500914101959393,0.500914101959393,0.500914101959393,-0.500914101959393,-0.500914101959393,0.500914101959393,0.500914101959393,0.500914101959393,0.500914101959393,5.149993896484375,5.072996520996071,446.0899963378906,432.9405014038086,433.98500061035156,435.0294998168945,1.0,1.0034404198284141,1.003266040482948,0.8620429632931949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029342500683599497,1,-0.029342500683599497,1,0.029342500683599497,1,0.029342500683599497,1
2023-04-21,445.6199951171875,448.3599853515625,443.2099914550781,445.4100036621094,445.4100036621094,506600.0,0.500914101959393,0.37895297446386456,0.4489705580815709,0.5027179794934105,0.9848030278414232,443.2600036621094,441.61500244140626,434.40233459472654,431.2466664632162,433.51779998779296,443.3403632438018,441.691902623495,436.66013436978415,433.3799280961486,430.2217490917807,441.0448462120823,437.36868997237826,3.676156239704028,3.2695318801665305,0.5276051467623419,0.5276051467623419,0.5276051467623419,-0.5276051467623419,-0.5276051467623419,0.5276051467623419,0.5276051467623419,0.5276051467623419,0.5276051467623419,2.829986572265682,4.877494812011702,448.3599853515625,434.92940399169925,435.9440032958985,436.9586026000977,1.0,1.003724966795985,1.0037321504209507,0.8930863354718267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.500914101959393,1,0.500914101959393,1,0.500914101959393,1,0.500914101959393,1
2023-04-24,447.0599975585938,448.2999877929688,445.4700012207031,447.760009765625,447.760009765625,469700.0,0.5276051467623419,0.33831495133128914,0.45728758596606545,0.46899479813546474,0.9870662932958527,444.2280029296875,442.7670043945312,435.31666870117186,431.3018330891927,433.7551000976562,444.8135787510762,442.79519483115496,437.3762553630642,433.8514061836724,430.5690413823518,442.0779482972427,438.13841736447057,3.9395309327721293,3.4035316906876503,-2.3226782622919533,-2.3226782622919533,-2.3226782622919533,2.3226782622919533,2.3226782622919533,-2.3226782622919533,-2.3226782622919533,-2.3226782622919533,-2.3226782622919533,9.910003662109318,5.193994140624983,448.2999877929688,437.62949676513676,438.6049957275391,439.5804946899414,0.0,1.0032997005663375,1.0045582787335596,0.9750376502768422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5276051467623419,1,0.5276051467623419,1,0.5276051467623419,1,0.5276051467623419,1
2023-04-25,446.8900146484375,447.2099914550781,437.2999877929688,437.3599853515625,437.3599853515625,530700.0,-2.3226782622919533,1.2074895196680866,0.9210534404016677,0.7354032459986584,0.9869135337456804,443.3559997558594,442.6320037841797,435.84600118001305,431.3559997558594,433.8761999511719,442.32904761790496,441.8069749257745,437.3752056849029,433.96644156622614,430.703515520356,441.35210784406115,438.0807557338848,3.2713521101763376,3.377095774585388,-1.4427468835589832,-1.4427468835589832,-1.4427468835589832,1.4427468835589832,1.4427468835589832,-1.4427468835589832,-1.4427468835589832,-1.4427468835589832,1.4427468835589832,7.459991455078125,5.3034942626952954,447.2099914550781,436.87320068359384,437.9119995117188,438.95079833984386,0.0,1.0016356611485162,1.0011816759846721,1.2524467976081628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.3226782622919533,1,-2.3226782622919533,1,-2.3226782622919533,1,-2.3226782622919533,1
