Date_ORCL_L01d,Open_ORCL_L01d,High_ORCL_L01d,Low_ORCL_L01d,Close_ORCL_L01d,Adj Close_ORCL_L01d,Volume_ORCL_L01d,Daily_Return_ORCL_L01d,Vol5_ORCL_L01d,Vol10_ORCL_L01d,Vol20_ORCL_L01d,Vol60_ORCL_L01d,SMA5_ORCL_L01d,SMA10_ORCL_L01d,SMA30_ORCL_L01d,SMA60_ORCL_L01d,SMA100_ORCL_L01d,EMA5_ORCL_L01d,EMA10_ORCL_L01d,EMA30_ORCL_L01d,EMA60_ORCL_L01d,EMA100_ORCL_L01d,Short12_ORCL_L01d,Long26_ORCL_L01d,MACD_ORCL_L01d,SIGNAL9_ORCL_L01d,Ret5/10_ORCL_L01d,Ret10/30_ORCL_L01d,Ret30/60_ORCL_L01d,Ret30/100_ORCL_L01d,Emaret5/10_ORCL_L01d,Emaret10/30_ORCL_L01d,Emaret30/60_ORCL_L01d,Emaret30/100_ORCL_L01d,RetMACD_ORCL_L01d,DayRange_ORCL_L01d,average20r_ORCL_L01d,PRVHI_ORCL_L01d,HitLevel_ORCL_L01d,hitlevel_2_ORCL_L01d,hitlevel_1.8_ORCL_L01d,positive_return_dummy,sma_ratio_L01d,ema_ratio_L01d,volatility_ratio_L01d,negative_L01d,neutral_L01d,positive_L01d,negative_max_L01d,negative_avg_L01d,positive_max_L01d,positive_avg_L01d,ret_logit,logit,ret_tree,tree,ret_xgb,xgb,ret_rf,rf
2023-08-14,113.1800003051758,115.8099975585938,113.1500015258789,115.5699996948242,115.5699996948242,6494200.0,2.220062082461641,1.490491060153484,1.319725431031413,1.361806077900536,1.847663845047395,113.9899993896484,114.8660003662109,116.2283327738444,113.9563327789307,106.1495997619629,114.3772214054198,114.8051826168262,115.2973895606643,112.3031428841957,107.4011987305206,114.9878806760698,115.4436022222211,-0.4557215461513238,-0.0567384265615811,-1.488276564199149,-1.488276564199149,1.488276564199149,1.488276564199149,-1.488276564199149,-1.488276564199149,-1.488276564199149,1.488276564199149,-1.488276564199149,3.22000122070321,2.307999420166016,115.8099975585938,108.373804397583,108.8380043029785,109.302204208374,1.0,0.9923737139469498,0.9962722831700485,0.9690993838608815,0.0,0.0,1.0,0.0188428182154893,0.0188428182154893,0.917490542,0.917490542,2.220062082461641,1,2.220062082461641,-1,2.220062082461641,1,2.220062082461641,1
2023-08-15,115.4499969482422,118.0599975585938,114.8399963378906,117.2900009155273,117.2900009155273,10412200.0,1.488276564199149,1.57385087121229,1.403002284677431,1.355790107127971,1.829825001679938,114.4019989013672,114.8040000915527,116.232999420166,114.2054995218913,106.4434997558594,115.348147908789,115.2569677620446,115.4259451319458,112.4666464262065,107.5970165955702,115.3420530206017,115.5803724957994,-0.2383194751976276,-0.0930546362887904,1.66254971644267,1.66254971644267,-1.66254971644267,-1.66254971644267,1.66254971644267,-1.66254971644267,1.66254971644267,-1.66254971644267,1.66254971644267,2.540000915527401,2.287999343872071,118.0599975585938,110.7323988342286,111.1939987182618,111.655598602295,0.0,0.9964983694830762,1.0007911031195325,1.0348226302148433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.488276564199149,1,-1.488276564199149,-1,1.488276564199149,1,1.488276564199149,-1
2023-08-16,117.1600036621094,117.8099975585938,115.2699966430664,115.3399963378906,115.3399963378906,5722000.0,-1.66254971644267,1.509354556598247,1.374860622936366,1.352176196027044,1.845948983088192,114.8499984741211,114.7669998168945,116.2123326619466,114.4138328552246,106.7190997314453,115.3454307184895,115.2720638667438,115.4204000484584,112.5608546200322,107.7503429271013,115.3417366078769,115.5625668544728,-0.2208302465958383,-0.1186097583502,-0.3988200963046885,0.3988200963046885,-0.3988200963046885,-0.3988200963046885,0.3988200963046885,-0.3988200963046885,0.3988200963046885,-0.3988200963046885,0.3988200963046885,2.419998168945298,2.217999267578126,117.8099975585938,113.0263990020753,113.4839988708497,113.9415987396241,0.0,1.0007231927066058,1.0006364668878533,1.0167762359491117,0.0,0.0,1.0,0.0532993003726005,0.0532993003726005,0.91094309091568,0.91094309091568,-1.66254971644267,1,1.66254971644267,1,-1.66254971644267,1,1.66254971644267,1
2023-08-17,115.7399978637695,116.7799987792969,114.3600006103516,114.879997253418,114.879997253418,6183900.0,-0.3988200963046885,1.540010366224554,1.339908465731711,1.248753928335239,1.840445009312092,115.2279983520508,114.7999992370605,116.1933326721191,114.6323328653971,106.9877996826172,115.1902862301324,115.2007790279573,115.3855353520042,112.6368920834219,107.8915242008897,115.270699784114,115.5120061432835,-0.2413063591695277,-0.1431490785140656,1.37534981618194,-1.37534981618194,1.37534981618194,1.37534981618194,-1.37534981618194,-1.37534981618194,-1.37534981618194,1.37534981618194,-1.37534981618194,3.040000915527301,2.216999435424805,116.7799987792969,112.9303991699219,113.3739990234376,113.8175988769532,1.0,1.003728215312149,0.999908917301485,1.0729963969106338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3988200963046885,1,-0.3988200963046885,1,-0.3988200963046885,1,-0.3988200963046885,1
2023-08-18,114.5,116.9899978637695,113.9499969482422,116.4599990844727,116.4599990844727,9411600.0,1.37534981618194,1.591499051422688,1.402999523269579,1.23915838108577,1.791372777195639,115.9079986572265,115.0019989013672,116.2549992879232,114.9309995015462,107.2509996795654,115.6135238482458,115.4297281291419,115.4548555928086,112.7622398539481,108.0611969708617,115.4536689072461,115.5822278426309,-0.1285589353847598,-0.1402310498882044,0.1116239519490344,-0.1116239519490344,0.1116239519490344,0.1116239519490344,-0.1116239519490344,0.1116239519490344,-0.1116239519490344,0.1116239519490344,0.1116239519490344,2.159996032714901,2.234499359130865,116.9899978637695,111.9026000213623,112.3459999084473,112.7893997955322,1.0,1.0078781218110509,1.0015922736896536,1.132219694176824,0.0,0.0,1.0,0.0263665951788425,0.0263665951788425,0.9654480218887328,0.9654480218887328,1.37534981618194,1,1.37534981618194,1,1.37534981618194,1,1.37534981618194,1
2023-08-21,116.9000015258789,117.3499984741211,115.1900024414062,116.5899963378906,116.5899963378906,5811200.0,0.1116239519490344,1.311021325447297,1.330724260608677,1.23619555269775,1.790253948318067,116.1119979858398,115.0509986877441,116.3286659240723,115.2354994455973,107.5183996582031,115.9390146781274,115.640685985278,115.5280904795881,112.8877400665364,108.2300840870405,115.6284885119607,115.6568773607983,-0.0283888488376078,-0.1178626096780851,-0.0428813997200954,0.0428813997200954,-0.0428813997200954,-0.0428813997200954,0.0428813997200954,-0.0428813997200954,-0.0428813997200954,-0.0428813997200954,-0.0428813997200954,1.949996948242202,2.246998977661141,117.3499984741211,112.0740992736816,112.5209991455078,112.9678990173339,0.0,1.009221991205616,1.002579790065301,1.0764674389133961,0.0,1.0,0.0,0.080521226,0.080521226,0.2067871391773224,0.2067871391773224,0.1116239519490344,1,0.1116239519490344,1,0.1116239519490344,1,0.1116239519490344,1
2023-08-22,117.5100021362305,117.6800003051758,115.7300033569336,116.5400009155273,116.5400009155273,4961100.0,-0.0428813997200954,1.090046854287138,1.302010708790568,1.236150667030848,1.622267824053626,115.9619979858398,115.1819984436035,116.3839993794759,115.439666112264,107.7775996398926,116.1393434239274,115.8041977907779,115.5933750238423,113.0074863238804,108.3946368955254,115.7687211894325,115.7222939204078,0.0464272690246332,-0.0850046339375414,1.115492888407974,-1.115492888407974,1.115492888407974,1.115492888407974,-1.115492888407974,1.115492888407974,1.115492888407974,1.115492888407974,1.115492888407974,8.339996337890597,2.53299865722657,117.6800003051758,112.4066007232666,112.8560005187988,113.305400314331,1.0,1.006771887558612,1.0028940715409558,1.053278328860924,0.0,0.0,2.0,0.0216704960912466,0.0127211145456233,0.94538676738739,0.9178182184696198,-0.0428813997200954,1,-0.0428813997200954,-1,-0.0428813997200954,-1,-0.0428813997200954,-1
2023-08-23,117.0999984741211,120.4499969482422,112.1100006103516,117.8399963378906,117.8399963378906,16517300.0,1.115492888407974,0.7706306630755839,1.129913944863266,1.165081337600878,1.625676812475916,116.4619979858398,115.6559982299804,116.4446660359701,115.6689993540446,108.0508995819092,116.7062277285818,116.174342981162,115.738318334426,113.1659292751594,108.5816737161663,116.0873789045799,115.8791607661473,0.2082181384325708,-0.026360079463519,-4.183632746936865,4.183632746936865,-4.183632746936865,-4.183632746936865,4.183632746936865,-4.183632746936865,-4.183632746936865,-4.183632746936865,-4.183632746936865,7.31999969482419,2.800998687744145,120.4499969482422,112.1074032592773,112.6140029907227,113.120602722168,0.0,1.0069689403765871,1.0045783323044577,0.9698155042033132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.115492888407974,1,-1.115492888407974,1,-1.115492888407974,1,-1.115492888407974,-1
2023-08-24,119.6800003051758,119.7300033569336,112.4100036621094,112.9100036621094,112.9100036621094,11995900.0,-4.183632746936865,2.24307195232687,1.84760754334318,1.495869557564937,1.718360626277839,116.0679992675781,115.6479988098145,116.2933329264323,115.7983327229818,108.2507996368408,115.4408197064243,115.5808267413343,115.555846420083,113.1575382714529,108.6673832200463,115.5985519441998,115.6592232028852,-0.0606712586854314,-0.0332223153079015,2.789827113911861,-2.789827113911861,2.789827113911861,2.789827113911861,-2.789827113911861,-2.789827113911861,2.789827113911861,2.789827113911861,-2.789827113911861,3.410003662109403,2.888998794555671,119.7300033569336,114.2877998352051,114.8479995727539,115.4081993103027,1.0,1.0036317140122268,0.9987886655697373,1.2351394772354498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.183632746936865,1,-4.183632746936865,-1,-4.183632746936865,1,4.183632746936865,-1
2023-08-25,112.9100036621094,116.1500015258789,112.7399978637695,116.0599975585938,116.0599975585938,8758100.0,2.789827113911861,2.575643485560075,2.046996307073865,1.631412650133959,1.750639715798116,115.9879989624023,115.9479988098145,116.1863329569499,115.9669993082682,108.4721996307373,115.6472123238142,115.6679487081087,115.588372299987,113.2527008710313,108.8137716227898,115.6695435771835,115.688910192197,-0.0193666150134816,-0.0304511752490175,0.6720651350203598,-0.6720651350203598,0.6720651350203598,0.6720651350203598,-0.6720651350203598,-0.6720651350203598,0.6720651350203598,0.6720651350203598,0.6720651350203598,2.010002136230497,2.918999099731455,116.1500015258789,113.3742060089111,113.9520057678223,114.5298055267334,1.0,1.0003449835529583,0.9998207248894262,1.25473852792902,0.0,1.0,1.0,0.006632403,0.004852268,0.9940890073776244,0.7083566784858704,2.789827113911861,-1,-2.789827113911861,1,2.789827113911861,-1,-2.789827113911861,-1
2023-08-28,116.370002746582,117.7099990844727,115.6999969482422,116.8399963378906,116.8399963378906,4514800.0,0.6720651350203598,2.596109153164613,1.939814898862886,1.620299447915002,1.751772517693085,116.0379989624023,116.0749984741211,116.1179995218913,116.1478326161702,108.7005995941162,116.044806995173,115.88104827716,115.6691222379162,113.3703171158463,108.9727067656631,115.8496132326769,115.7741758326187,0.0754374000581776,-0.0092734601875784,-3.260874107672961,-3.260874107672961,-3.260874107672961,3.260874107672961,-3.260874107672961,3.260874107672961,3.260874107672961,3.260874107672961,3.260874107672961,2.680000305175795,2.97499923706056,117.7099990844727,109.7282035064697,110.312003326416,110.8958031463623,1.0,0.9996812447796236,1.0014131622076918,1.1971953093973067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6720651350203598,1,0.6720651350203598,1,-0.6720651350203598,1,-0.6720651350203598,-1
2023-08-29,120.9499969482422,121.2099990844727,118.5299987792969,120.6500015258789,120.6500015258789,11920500.0,3.260874107672961,2.955670617413358,2.147910615304711,1.77469847863442,1.79594259644625,116.8599990844727,116.4109985351563,116.1139996846517,116.3938326517741,108.9581996154785,117.5798718387416,116.748130686018,115.9904692887525,113.6089952932244,109.2039403252713,116.5881345085541,116.1353481061935,0.452786402360573,0.0831385123220518,0.3895575754321755,0.3895575754321755,-0.3895575754321755,0.3895575754321755,-0.3895575754321755,0.3895575754321755,0.3895575754321755,0.3895575754321755,0.3895575754321755,1.589996337890597,2.92149887084962,121.2099990844727,111.1650007629395,111.7600006103516,112.3550004577637,1.0,1.0038570285880746,1.0071242352904175,1.2102960819335729,0.0,0.0,1.0,0.002983915,0.002983915,0.9935358762741088,0.9935358762741088,3.260874107672961,1,3.260874107672961,-1,3.260874107672961,-1,-3.260874107672961,-1
2023-08-30,120.7200012207031,121.7399978637695,120.1500015258789,121.120002746582,121.120002746582,5601800.0,0.3895575754321755,2.949881288781028,2.034198067080179,1.711747425738287,1.793383040431474,117.5160003662109,116.9889991760254,116.1949996948242,116.6303326924642,109.2101996612549,118.7599154746884,117.5430165152114,116.3214069311932,113.8552578326788,109.4399019573765,117.2853450067122,116.5045817832593,0.780763223452908,0.2226634545482231,-0.6027108160334058,-0.6027108160334058,0.6027108160334058,-0.6027108160334058,0.6027108160334058,-0.6027108160334058,-0.6027108160334058,-0.6027108160334058,-0.6027108160334058,1.860000610351591,2.918999099731459,121.7399978637695,114.7827015686035,115.3670013427735,115.9513011169434,0.0,1.0045047072280067,1.0103527967509622,1.1883751285344082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3895575754321755,1,-0.3895575754321755,1,-0.3895575754321755,1,-0.3895575754321755,1
2023-08-31,121.0,121.9800033569336,120.120002746582,120.3899993896484,120.3899993896484,9109800.0,-0.6027108160334058,1.651371374468033,2.045299225173821,1.698725510351874,1.796541146994029,119.0119995117188,117.5399993896484,116.3453330993652,116.851832707723,109.4764996337891,119.3032767796751,118.060649765109,116.5838967672225,114.0695116542188,109.6567355698967,117.7629841425486,116.7923904948437,0.9705936477048596,0.3722494931795504,0.4485430004693828,0.4485430004693828,-0.4485430004693828,0.4485430004693828,-0.4485430004693828,0.4485430004693828,0.4485430004693828,0.4485430004693828,0.4485430004693828,1.600006103515597,2.891999435424819,121.9800033569336,115.3181998443603,115.9019996643066,116.4857994842529,1.0,1.0125233973941983,1.0105253275925417,1.2040198447070813,0.0,2.0,0.0,0.007828979,0.0053979045,0.0239652190357446,0.0167227860178723,-0.6027108160334058,1,-0.6027108160334058,1,-0.6027108160334058,1,-0.6027108160334058,1
2023-09-01,121.0100021362305,121.6900024414062,120.0899963378906,120.9300003051758,120.9300003051758,6189900.0,0.4485430004693828,1.442756425448624,2.021510491567008,1.697036543414696,1.778624803389055,119.9860000610351,117.9869995117188,116.4546663920085,117.1131660461426,109.7460996246338,119.845517954842,118.582349863303,116.8642905438647,114.2944457083485,109.8799685349518,118.2502173983374,117.0988801104239,1.151337287913492,0.5280670521263386,2.522122752055644,2.522122752055644,-2.522122752055644,2.522122752055644,-2.522122752055644,2.522122752055644,2.522122752055644,2.522122752055644,2.522122752055644,3.099998474121108,2.981499481201185,121.6900024414062,115.617604598999,116.196004486084,116.7744043731689,1.0,1.0169425492434676,1.0106522437191972,1.191200330606565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4485430004693828,1,0.4485430004693828,-1,0.4485430004693828,1,0.4485430004693828,-1
2023-09-05,122.4400024414062,124.2799987792969,121.1800003051758,123.9800033569336,123.9800033569336,11089600.0,2.522122752055644,1.617591873553921,2.124921388311393,1.751645827153758,1.786563340278496,121.4140014648438,118.7260002136231,116.6516665140788,117.3881660461426,110.0468996429443,121.2236797555392,119.5637414075995,117.3233687898691,114.6120049755152,110.159177145288,119.1317229304291,117.6085929434987,1.523129986930442,0.7270796390871594,0.2823023589646759,0.2823023589646759,-0.2823023589646759,0.2823023589646759,-0.2823023589646759,0.2823023589646759,0.2823023589646759,0.2823023589646759,0.2823023589646759,1.849998474121108,3.004499435424814,124.2799987792969,115.1307035827636,115.7270034790038,116.3233033752441,1.0,1.0226403757086417,1.0138832921117855,1.2130999060261907,1.0,2.0,1.0,0.6833046674728394,0.1746289281182098,0.967542827,0.397642713844265,2.522122752055644,1,-2.522122752055644,1,2.522122752055644,1,-2.522122752055644,1
2023-09-06,123.0599975585938,124.5800018310547,122.7300033569336,124.3300018310547,124.3300018310547,8728500.0,0.2823023589646759,1.152053510483469,2.115830903039809,1.732858935778413,1.768120490937123,122.1500015258789,119.5050003051758,116.8643333435059,117.6294994354248,110.3346996307373,122.2591204473777,120.430334211864,117.7754096312359,114.9306278232378,110.4397875351052,119.93145814591,118.1064750833176,1.824983062592338,0.9466603237881952,0.6112720145123219,0.6112720145123219,-0.6112720145123219,0.6112720145123219,-0.6112720145123219,0.6112720145123219,0.6112720145123219,0.6112720145123219,0.6112720145123219,3.370002746582102,3.00399971008302,124.5800018310547,117.6701000213623,118.2709999084473,118.8718997955322,1.0,1.0221329753060429,1.015185428550721,1.2210058530178987,0.0,0.0,1.0,0.002977811,0.002977811,0.9960103034973145,0.9960103034973145,0.2823023589646759,1,0.2823023589646759,-1,0.2823023589646759,-1,0.2823023589646759,-1
